Mock_community,Tool,Level,AvgRelAb,MAE,RMSE,ComType
small_1,eukdetect,Species,9,3,4,EqualReads
small_1,eukdetect,Genus,11,3,4,EqualReads
small_1,eukdetect,Family,16,5,7,EqualReads
small_2,eukdetect,Species,9,1,2,EqualReads
small_2,eukdetect,Genus,11,2,4,EqualReads
small_2,eukdetect,Family,22,5,5,EqualReads
small_3,eukdetect,Species,12,1,2,EqualReads
small_3,eukdetect,Genus,11,2,3,EqualReads
small_3,eukdetect,Family,15,3,4,EqualReads
median_1,eukdetect,Species,1,1,1,EqualReads
median_1,eukdetect,Genus,3,1,1,EqualReads
median_1,eukdetect,Family,4,1,2,EqualReads
median_2,eukdetect,Species,1,0,1,EqualReads
median_2,eukdetect,Genus,2,1,1,EqualReads
median_2,eukdetect,Family,4,1,2,EqualReads
median_3,eukdetect,Species,2,1,2,EqualReads
median_3,eukdetect,Genus,2,1,2,EqualReads
median_3,eukdetect,Family,6,2,3,EqualReads
large_1,eukdetect,Species,1,0,0,EqualReads
large_1,eukdetect,Genus,1,0,1,EqualReads
large_1,eukdetect,Family,2,0,1,EqualReads
large_2,eukdetect,Species,1,0,0,EqualReads
large_2,eukdetect,Genus,1,0,1,EqualReads
large_2,eukdetect,Family,3,1,1,EqualReads
complete_1,eukdetect,Species,0,0,0,EqualReads
complete_1,eukdetect,Genus,1,0,1,EqualReads
complete_1,eukdetect,Family,2,0,1,EqualReads
small_1,eukdetect,Species,10,4,4,EqualCoverage
small_1,eukdetect,Genus,11,4,4,EqualCoverage
small_1,eukdetect,Family,16,6,7,EqualCoverage
small_2,eukdetect,Species,10,2,3,EqualCoverage
small_2,eukdetect,Genus,11,2,3,EqualCoverage
small_2,eukdetect,Family,20,4,4,EqualCoverage
small_3,eukdetect,Species,10,4,4,EqualCoverage
small_3,eukdetect,Genus,11,5,6,EqualCoverage
small_3,eukdetect,Family,15,7,8,EqualCoverage
median_1,eukdetect,Species,2,1,1,EqualCoverage
median_1,eukdetect,Genus,3,1,2,EqualCoverage
median_1,eukdetect,Family,4,1,2,EqualCoverage
median_2,eukdetect,Species,2,1,1,EqualCoverage
median_2,eukdetect,Genus,2,1,1,EqualCoverage
median_2,eukdetect,Family,4,1,1,EqualCoverage
median_3,eukdetect,Species,2,1,1,EqualCoverage
median_3,eukdetect,Genus,2,1,1,EqualCoverage
median_3,eukdetect,Family,5,1,2,EqualCoverage
large_1,eukdetect,Species,1,0,0,EqualCoverage
large_1,eukdetect,Genus,1,0,1,EqualCoverage
large_1,eukdetect,Family,2,0,1,EqualCoverage
large_2,eukdetect,Species,1,0,0,EqualCoverage
large_2,eukdetect,Genus,1,0,1,EqualCoverage
large_2,eukdetect,Family,3,1,1,EqualCoverage
complete_1,eukdetect,Species,0,0,0,EqualCoverage
complete_1,eukdetect,Genus,1,0,1,EqualCoverage
complete_1,eukdetect,Family,2,0,1,EqualCoverage
