Taxon name,RelAbCoverage,PredictedRelAb,Mock_community,Tool,Level,ComType
Aspergillus niger,4.02055286420652,0.46381188652788263,small_1,eukdetect,Species,EqualReads
Candida albicans,9.564136789729329,10.79351382447057,small_1,eukdetect,Species,EqualReads
Debaryomyces hansenii,11.240611291057338,15.161974616186674,small_1,eukdetect,Species,EqualReads
Kluyveromyces lactis,12.779434723004906,15.884658253334772,small_1,eukdetect,Species,EqualReads
Malassezia restricta,18.633624917901184,28.112753029159027,small_1,eukdetect,Species,EqualReads
Neurospora tetrasperma,3.489506190682438,3.3905008449286305,small_1,eukdetect,Species,EqualReads
Saccharomyces cerevisiae,11.316186088091417,15.535900478193652,small_1,eukdetect,Species,EqualReads
Yarrowia lipolytica,6.6625127022268735,9.398482723906088,small_1,eukdetect,Species,EqualReads
Aspergillus,4.02055286420652,1.6610937331463702,small_1,eukdetect,Genus,EqualReads
Candida,9.564136789729329,10.79351382447057,small_1,eukdetect,Genus,EqualReads
Debaryomyces,11.240611291057338,15.161974616186674,small_1,eukdetect,Genus,EqualReads
Kluyveromyces,12.779434723004906,15.884658253334772,small_1,eukdetect,Genus,EqualReads
Malassezia,18.633624917901184,28.112753029159027,small_1,eukdetect,Genus,EqualReads
Neurospora,3.489506190682438,3.4516233416028475,small_1,eukdetect,Genus,EqualReads
Saccharomyces,22.782019535523716,15.535900478193652,small_1,eukdetect,Genus,EqualReads
Yarrowia,6.6625127022268735,9.398482723906088,small_1,eukdetect,Genus,EqualReads
Aspergillaceae,4.02055286420652,1.6610937331463702,small_1,eukdetect,Family,EqualReads
Debaryomycetaceae,20.804748080786666,25.955488440657245,small_1,eukdetect,Family,EqualReads
Dipodascaceae,6.6625127022268735,9.398482723906088,small_1,eukdetect,Family,EqualReads
Malasseziaceae,18.633624917901184,28.112753029159027,small_1,eukdetect,Family,EqualReads
Saccharomycetaceae,46.38905524419632,31.420558731528423,small_1,eukdetect,Family,EqualReads
Sordariaceae,3.489506190682438,3.4516233416028475,small_1,eukdetect,Family,EqualReads
Candida albicans,9.847519473788333,9.855871827702813,small_2,eukdetect,Species,EqualReads
Coccidioides posadasii,5.2066296391072155,1.4872451492169803,small_2,eukdetect,Species,EqualReads
Debaryomyces hansenii,11.573667443238733,13.844840605403984,small_2,eukdetect,Species,EqualReads
Kluyveromyces lactis,13.158085780824463,14.50474408220887,small_2,eukdetect,Species,EqualReads
Malassezia restricta,19.185733985251005,25.6705735578975,small_2,eukdetect,Species,EqualReads
Paracoccidioides brasiliensis,4.695723019570779,4.4912833645228005,small_2,eukdetect,Species,EqualReads
Saccharomyces cerevisiae,11.651481500260576,14.186283200367708,small_2,eukdetect,Species,EqualReads
Schizophyllum commune,3.6371205871195236,2.8661479365704716,small_2,eukdetect,Species,EqualReads
Tetrapisispora blattae,10.011595579188214,10.670081092616304,small_2,eukdetect,Species,EqualReads
Candida,20.87996246543949,9.855871827702813,small_2,eukdetect,Genus,EqualReads
Coccidioides,5.2066296391072155,3.910174332709544,small_2,eukdetect,Genus,EqualReads
Debaryomyces,11.573667443238733,13.844840605403984,small_2,eukdetect,Genus,EqualReads
Kluyveromyces,13.158085780824463,14.50474408220887,small_2,eukdetect,Genus,EqualReads
Malassezia,19.185733985251005,25.6705735578975,small_2,eukdetect,Genus,EqualReads
Paracoccidioides,4.695723019570779,4.4912833645228005,small_2,eukdetect,Genus,EqualReads
Saccharomyces,11.651481500260576,14.186283200367708,small_2,eukdetect,Genus,EqualReads
Schizophyllum,3.6371205871195236,2.8661479365704716,small_2,eukdetect,Genus,EqualReads
Tetrapisispora,10.011595579188214,10.670081092616304,small_2,eukdetect,Genus,EqualReads
Debaryomycetaceae,32.453629908678224,23.700712433106798,small_2,eukdetect,Family,EqualReads
