Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,0.8888513733126601,0.7900567638398018,8.219967484092366e-07,6.876160057803457e-06
metaphlan,Species,-0.7612591003441346,0.5795154178567612,0.00024288907874457337,0.0005829337889869761
eukdetect,Species,-0.7131862796120376,0.5086346694268595,0.000891491037671711,0.001782982075343422
HMS,Species,0.5156145143242462,0.2658583273818283,0.049150510021521814,0.06553401336202909
kraken,Genus,0.7920244050916315,0.6273026582607528,8.949537924603082e-05,0.0002684861377380925
metaphlan,Genus,-0.8839029725592894,0.7812844648991479,1.1460266763005761e-06,6.876160057803457e-06
eukdetect,Genus,-0.6197181547780297,0.384050591361486,0.006085594315624791,0.009128391473437187
HMS,Genus,-0.03284464940046843,0.0010787709942396914,0.9074930830141749,0.9074930830141749
kraken,Family,0.6742966792150531,0.45467601160044824,0.0021475954955512033,0.003681592278087777
metaphlan,Family,-0.8625652864218072,0.7440188733399342,4.1209203812243425e-06,1.648368152489737e-05
eukdetect,Family,-0.30047821836394006,0.09028715971116764,0.22568663065782363,0.24620359708126216
HMS,Family,-0.33924773066500263,0.11508902276135417,0.2160836366855819,0.24620359708126216
