Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,0.8888513733126601,0.7900567638398018,8.219967484092366e-07,9.111865060119113e-06
metaphlan,Species,-0.7716677371736658,0.5954710965947257,0.0001762239519231497,0.0006344062269233389
eukdetect,Species,-0.6883856881867807,0.4738748557003877,0.0015854447608854836,0.004756334282656451
HMS,Species,0.5156145143242462,0.2658583273818283,0.049150510021521814,0.08847091803873926
funomic,Species,0.19780733636610912,0.03912774232025503,0.43140002140220723,0.5546571703742664
micop,Species,-0.020526545065053615,0.0004213390523076769,0.9355671109982262,0.9891254279163659
kraken,Genus,0.7868523481076006,0.6191366177224448,0.00010702984607522255,0.0004816343073385015
metaphlan,Genus,-0.8857751617816848,0.7845976372293699,1.0124294511243457e-06,9.111865060119113e-06
eukdetect,Genus,-0.6449694256095203,0.41598555997107456,0.003851223068841801,0.008665251904894053
HMS,Genus,-0.041908911016286944,0.0017563568225710572,0.8821099591294782,0.9891254279163659
funomic,Genus,-0.08052442542020262,0.006484183089253774,0.7507687406513708,0.9009224887816449
micop,Genus,-0.4395552687071538,0.19320883424821816,0.06797132318241757,0.11122580157122874
kraken,Family,0.6742966792150531,0.45467601160044824,0.0021475954955512033,0.005522388417131666
metaphlan,Family,-0.8625652864218072,0.7440188733399342,4.1209203812243425e-06,2.4725522287346057e-05
eukdetect,Family,-0.30047821836394006,0.09028715971116764,0.22568663065782363,0.3124891809108327
HMS,Family,-0.33924773066500263,0.11508902276135417,0.2160836366855819,0.3124891809108327
funomic,Family,0.003461032807823805,1.1978748096832731e-05,0.9891254279163659,0.9891254279163659
micop,Family,-0.5965890756659605,0.35591852520396516,0.008961523430817518,0.017923046861635036
