Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Candida albicans,10.0,0.2561,small_1,HMS,Species,EqualReads
Malassezia restricta,10.0,0.3164,small_1,HMS,Species,EqualReads
Yarrowia lipolytica,10.0,0.0004,small_1,HMS,Species,EqualReads
Aspergillus,10.0,0.3062,small_1,HMS,Genus,EqualReads
Candida,10.0,0.2562,small_1,HMS,Genus,EqualReads
Debaryomyces,10.0,0.0655,small_1,HMS,Genus,EqualReads
Kluyveromyces,10.0,0.0053,small_1,HMS,Genus,EqualReads
Malassezia,10.0,0.3219,small_1,HMS,Genus,EqualReads
Yarrowia,10.0,0.0391,small_1,HMS,Genus,EqualReads
Aspergillaceae,10.0,30.62591975972589,small_1,HMS,Family,EqualReads
Debaryomycetaceae,20.0,32.1732546148375,small_1,HMS,Family,EqualReads
Dipodascaceae,10.0,3.9096817730353775,small_1,HMS,Family,EqualReads
Malasseziaceae,10.0,32.194006136747774,small_1,HMS,Family,EqualReads
Saccharomycetaceae,40.0,1.007003242623309,small_1,HMS,Family,EqualReads
Candida albicans,10.0,0.2625,small_2,HMS,Species,EqualReads
Malassezia restricta,10.0,0.324,small_2,HMS,Species,EqualReads
Paracoccidioides brasiliensis,10.0,0.3151,small_2,HMS,Species,EqualReads
Candida,20.0,0.2638,small_2,HMS,Genus,EqualReads
Debaryomyces,10.0,0.067,small_2,HMS,Genus,EqualReads
Kluyveromyces,10.0,0.0051,small_2,HMS,Genus,EqualReads
Malassezia,10.0,0.3292,small_2,HMS,Genus,EqualReads
Paracoccidioides,10.0,0.315,small_2,HMS,Genus,EqualReads
Debaryomycetaceae,30.0,33.11278800553581,small_2,HMS,Family,EqualReads
Malasseziaceae,10.0,32.91614680595959,small_2,HMS,Family,EqualReads
Saccharomycetaceae,30.0,0.8113883160731467,small_2,HMS,Family,EqualReads
Candida albicans,10.0,0.2078,small_3,HMS,Species,EqualReads
Fusarium falciforme,10.0,0.2087,small_3,HMS,Species,EqualReads
Kluyveromyces marxianus,10.0,0.2509,small_3,HMS,Species,EqualReads
Malassezia restricta,10.0,0.2569,small_3,HMS,Species,EqualReads
Aspergillus,10.0,0.0123,small_3,HMS,Genus,EqualReads
Candida,10.0,0.2078,small_3,HMS,Genus,EqualReads
Debaryomyces,10.0,0.0531,small_3,HMS,Genus,EqualReads
Fusarium,10.0,0.2094,small_3,HMS,Genus,EqualReads
Kluyveromyces,20.0,0.2509,small_3,HMS,Genus,EqualReads
Malassezia,10.0,0.261,small_3,HMS,Genus,EqualReads
Aspergillaceae,10.0,1.2512221478927599,small_3,HMS,Family,EqualReads
Debaryomycetaceae,20.0,26.09311480471363,small_3,HMS,Family,EqualReads
Malasseziaceae,10.0,26.098132043431278,small_3,HMS,Family,EqualReads
Nectriaceae,10.0,20.936937168733596,small_3,HMS,Family,EqualReads
Pleosporaceae,10.0,0.1515463387022076,small_3,HMS,Family,EqualReads
Saccharomycetaceae,30.0,25.28276642824062,small_3,HMS,Family,EqualReads
Aspergillus terreus,2.0,0.0742,median_1,HMS,Species,EqualReads
Candida albicans,2.0,0.0628,median_1,HMS,Species,EqualReads
Candida parapsilosis,2.0,0.0773,median_1,HMS,Species,EqualReads
Cryptococcus neoformans,2.0,0.0407,median_1,HMS,Species,EqualReads
Diutina rugosa,2.0,0.0772,median_1,HMS,Species,EqualReads
Fusarium proliferatum,2.0,0.0697,median_1,HMS,Species,EqualReads
Histoplasma capsulatum,2.0,0.0763,median_1,HMS,Species,EqualReads
Malassezia japonica,2.0,0.0763,median_1,HMS,Species,EqualReads
Malassezia restricta,2.0,0.0773,median_1,HMS,Species,EqualReads
Pneumocystis jirovecii,2.0,0.0787,median_1,HMS,Species,EqualReads
Rhizopus microsporus,2.0,0.0537,median_1,HMS,Species,EqualReads
Aspergillus,8.0,0.1444,median_1,HMS,Genus,EqualReads
Candida,4.0,0.1405,median_1,HMS,Genus,EqualReads
Cryptococcus,4.0,0.0433,median_1,HMS,Genus,EqualReads
Debaryomyces,2.0,0.0162,median_1,HMS,Genus,EqualReads
Diutina,2.0,0.0771,median_1,HMS,Genus,EqualReads
Fusarium,2.0,0.0706,median_1,HMS,Genus,EqualReads
Histoplasma,2.0,0.0769,median_1,HMS,Genus,EqualReads
Kluyveromyces,2.0,0.0024,median_1,HMS,Genus,EqualReads
Malassezia,6.0,0.1555,median_1,HMS,Genus,EqualReads
Penicillium,2.0,0.0703,median_1,HMS,Genus,EqualReads
Pneumocystis,4.0,0.0787,median_1,HMS,Genus,EqualReads
Rhizopus,2.0,0.054,median_1,HMS,Genus,EqualReads
Trichophyton,2.0,0.0593,median_1,HMS,Genus,EqualReads
Ajellomycetaceae,2.0,7.690638152269538,median_1,HMS,Family,EqualReads
Arthrodermataceae,2.0,5.927321654356136,median_1,HMS,Family,EqualReads
Aspergillaceae,10.0,21.46550798607544,median_1,HMS,Family,EqualReads
Cryptococcaceae,14.0,4.333543679534344,median_1,HMS,Family,EqualReads
Debaryomycetaceae,10.0,23.393883173668467,median_1,HMS,Family,EqualReads
Didymellaceae,2.0,0.2689831009870309,median_1,HMS,Family,EqualReads
Malasseziaceae,6.0,15.548227337642729,median_1,HMS,Family,EqualReads
Nectriaceae,2.0,7.062804947280857,median_1,HMS,Family,EqualReads
Pleosporaceae,6.0,0.26361502474335574,median_1,HMS,Family,EqualReads
Pneumocystaceae,4.0,7.865853705633236,median_1,HMS,Family,EqualReads
Rhizopodaceae,2.0,5.397542734135017,median_1,HMS,Family,EqualReads
Saccharomycetaceae,20.0,0.501393768860678,median_1,HMS,Family,EqualReads
Arthroderma uncinatum,2.0,0.086,median_2,HMS,Species,EqualReads
Aspergillus lentulus,2.0,0.1027,median_2,HMS,Species,EqualReads
Candida albicans,2.0,0.07,median_2,HMS,Species,EqualReads
Clavispora lusitaniae,2.0,0.0856,median_2,HMS,Species,EqualReads
Cryptococcus gattii,2.0,0.1306,median_2,HMS,Species,EqualReads
Fusarium falciforme,2.0,0.0701,median_2,HMS,Species,EqualReads
Malassezia restricta,2.0,0.0861,median_2,HMS,Species,EqualReads
Meyerozyma guilliermondii,2.0,0.0856,median_2,HMS,Species,EqualReads
Trichophyton rubrum,2.0,0.0742,median_2,HMS,Species,EqualReads
Trichosporon asahii,2.0,0.0769,median_2,HMS,Species,EqualReads
Arthroderma,2.0,0.086,median_2,HMS,Genus,EqualReads
Aspergillus,8.0,0.1558,median_2,HMS,Genus,EqualReads
Candida,6.0,0.0715,median_2,HMS,Genus,EqualReads
Clavispora,2.0,0.0855,median_2,HMS,Genus,EqualReads
Cryptococcus,6.0,0.1619,median_2,HMS,Genus,EqualReads
Cyberlindnera,2.0,0.0003,median_2,HMS,Genus,EqualReads
Debaryomyces,2.0,0.0181,median_2,HMS,Genus,EqualReads
Fusarium,2.0,0.0704,median_2,HMS,Genus,EqualReads
Kluyveromyces,2.0,0.0017,median_2,HMS,Genus,EqualReads
Malassezia,4.0,0.0882,median_2,HMS,Genus,EqualReads
Meyerozyma,2.0,0.0856,median_2,HMS,Genus,EqualReads
Naumovozyma,2.0,0.0003,median_2,HMS,Genus,EqualReads
Trichophyton,2.0,0.0857,median_2,HMS,Genus,EqualReads
Trichosporon,2.0,0.077,median_2,HMS,Genus,EqualReads
Arthrodermataceae,4.0,17.172117784406048,median_2,HMS,Family,EqualReads
Aspergillaceae,8.0,15.592574079825457,median_2,HMS,Family,EqualReads
Cryptococcaceae,8.0,16.19483964104095,median_2,HMS,Family,EqualReads
Debaryomycetaceae,16.0,17.54196845902435,median_2,HMS,Family,EqualReads
Didymellaceae,2.0,0.19456089803425958,median_2,HMS,Family,EqualReads
Malasseziaceae,4.0,8.815806793242373,median_2,HMS,Family,EqualReads
Metschnikowiaceae,2.0,8.598275406693789,median_2,HMS,Family,EqualReads
Nectriaceae,2.0,7.0435518741595775,median_2,HMS,Family,EqualReads
Pleosporaceae,4.0,0.5185136115200011,median_2,HMS,Family,EqualReads
Saccharomycetaceae,10.0,0.37355004168240336,median_2,HMS,Family,EqualReads
Trichosporonaceae,2.0,7.702469370531186,median_2,HMS,Family,EqualReads
Candida albicans,2.0,0.0405,median_3,HMS,Species,EqualReads
Candida dubliniensis,2.0,0.0487,median_3,HMS,Species,EqualReads
Candida orthopsilosis,2.0,0.0511,median_3,HMS,Species,EqualReads
Candida tropicalis,2.0,0.0424,median_3,HMS,Species,EqualReads
Cladophialophora bantiana,2.0,0.0495,median_3,HMS,Species,EqualReads
Cladophialophora carrionii,2.0,0.0495,median_3,HMS,Species,EqualReads
Cryptococcus deuterogattii,2.0,0.0493,median_3,HMS,Species,EqualReads
Debaryomyces fabryi,2.0,0.0601,median_3,HMS,Species,EqualReads
Fonsecaea monophora,2.0,0.0478,median_3,HMS,Species,EqualReads
Fonsecaea nubica,2.0,0.0492,median_3,HMS,Species,EqualReads
Kluyveromyces marxianus,2.0,0.0489,median_3,HMS,Species,EqualReads
Lodderomyces elongisporus,2.0,0.0488,median_3,HMS,Species,EqualReads
Malassezia globosa,2.0,0.0496,median_3,HMS,Species,EqualReads
Malassezia restricta,2.0,0.0494,median_3,HMS,Species,EqualReads
Malassezia sympodialis,2.0,0.0501,median_3,HMS,Species,EqualReads
Nakaseomyces glabratus,2.0,0.0499,median_3,HMS,Species,EqualReads
Paracoccidioides brasiliensis,2.0,0.0481,median_3,HMS,Species,EqualReads
Penicillium rubens,2.0,0.049,median_3,HMS,Species,EqualReads
Pichia kudriavzevii,2.0,0.0494,median_3,HMS,Species,EqualReads
Aspergillus,2.0,0.0482,median_3,HMS,Genus,EqualReads
Blastomyces,2.0,0.006,median_3,HMS,Genus,EqualReads
Candida,10.0,0.1919,median_3,HMS,Genus,EqualReads
Cladophialophora,4.0,0.099,median_3,HMS,Genus,EqualReads
Cryptococcus,2.0,0.0494,median_3,HMS,Genus,EqualReads
Debaryomyces,4.0,0.06,median_3,HMS,Genus,EqualReads
Fonsecaea,4.0,0.099,median_3,HMS,Genus,EqualReads
Kluyveromyces,4.0,0.0488,median_3,HMS,Genus,EqualReads
Lodderomyces,2.0,0.0488,median_3,HMS,Genus,EqualReads
