Mock_community,Tool,Level,AvgRelAb,MAE,RMSE,ComType
small_1,HMS,Species,10,9,9,EqualReads
small_1,HMS,Genus,10,9,9,EqualReads
small_1,HMS,Family,20,3,3,EqualReads
small_2,HMS,Species,10,9,9,EqualReads
small_2,HMS,Genus,12,12,13,EqualReads
small_2,HMS,Family,23,6,7,EqualReads
small_3,HMS,Species,10,9,9,EqualReads
small_3,HMS,Genus,11,11,12,EqualReads
small_3,HMS,Family,15,6,6,EqualReads
median_1,HMS,Species,2,1,1,EqualReads
median_1,HMS,Genus,3,3,4,EqualReads
median_1,HMS,Family,8,6,8,EqualReads
median_2,HMS,Species,2,1,1,EqualReads
median_2,HMS,Genus,4,3,4,EqualReads
median_2,HMS,Family,5,3,5,EqualReads
median_3,HMS,Species,2,1,1,EqualReads
median_3,HMS,Genus,3,3,4,EqualReads
median_3,HMS,Family,10,5,7,EqualReads
large_1,HMS,Species,1,0,0,EqualReads
large_1,HMS,Genus,2,2,2,EqualReads
large_1,HMS,Family,5,4,6,EqualReads
large_2,HMS,Species,1,0,0,EqualReads
large_2,HMS,Genus,2,2,3,EqualReads
large_2,HMS,Family,6,3,5,EqualReads
complete_1,HMS,Species,0,0,0,EqualReads
complete_1,HMS,Genus,2,2,3,EqualReads
complete_1,HMS,Family,5,3,5,EqualReads
