Mock_community,Tool,Level,AvgRelAb,MAE,RMSE,ComType
small_1,kraken,Species,10,1,1,EqualReads
small_1,kraken,Genus,11,2,3,EqualReads
small_1,kraken,Family,16,2,2,EqualReads
small_2,kraken,Species,10,5,5,EqualReads
small_2,kraken,Genus,11,5,5,EqualReads
small_2,kraken,Family,23,8,10,EqualReads
small_3,kraken,Species,10,3,3,EqualReads
small_3,kraken,Genus,11,5,5,EqualReads
small_3,kraken,Family,15,7,8,EqualReads
median_1,kraken,Species,2,2,2,EqualReads
median_1,kraken,Genus,3,2,2,EqualReads
median_1,kraken,Family,5,3,7,EqualReads
median_2,kraken,Species,2,3,3,EqualReads
median_2,kraken,Genus,3,2,3,EqualReads
median_2,kraken,Family,5,3,4,EqualReads
median_3,kraken,Species,2,2,2,EqualReads
median_3,kraken,Genus,3,2,2,EqualReads
median_3,kraken,Family,7,3,5,EqualReads
large_1,kraken,Species,1,1,1,EqualReads
large_1,kraken,Genus,2,1,1,EqualReads
large_1,kraken,Family,3,2,4,EqualReads
large_2,kraken,Species,1,1,1,EqualReads
large_2,kraken,Genus,2,1,1,EqualReads
large_2,kraken,Family,4,2,3,EqualReads
complete_1,kraken,Species,0,1,1,EqualReads
complete_1,kraken,Genus,1,1,1,EqualReads
complete_1,kraken,Family,3,2,4,EqualReads
small_1,kraken,Species,7,1,1,EqualCoverage
small_1,kraken,Genus,11,2,3,EqualCoverage
small_1,kraken,Family,16,2,2,EqualCoverage
small_2,kraken,Species,6,8,8,EqualCoverage
small_2,kraken,Genus,7,7,7,EqualCoverage
small_2,kraken,Family,15,15,17,EqualCoverage
small_3,kraken,Species,8,5,7,EqualCoverage
small_3,kraken,Genus,10,7,8,EqualCoverage
small_3,kraken,Family,13,10,11,EqualCoverage
median_1,kraken,Species,1,1,1,EqualCoverage
median_1,kraken,Genus,2,2,2,EqualCoverage
median_1,kraken,Family,5,3,5,EqualCoverage
median_2,kraken,Species,1,3,4,EqualCoverage
median_2,kraken,Genus,3,2,3,EqualCoverage
median_2,kraken,Family,4,3,4,EqualCoverage
median_3,kraken,Species,1,2,2,EqualCoverage
median_3,kraken,Genus,2,2,3,EqualCoverage
median_3,kraken,Family,5,3,7,EqualCoverage
large_1,kraken,Species,0,1,1,EqualCoverage
large_1,kraken,Genus,1,1,2,EqualCoverage
large_1,kraken,Family,2,2,3,EqualCoverage
large_2,kraken,Species,0,1,2,EqualCoverage
large_2,kraken,Genus,1,1,2,EqualCoverage
large_2,kraken,Family,3,2,3,EqualCoverage
complete_1,kraken,Species,0,1,2,EqualCoverage
complete_1,kraken,Genus,1,1,2,EqualCoverage
complete_1,kraken,Family,2,2,3,EqualCoverage
