Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Candida albicans,10.0,11.603994753049092,small_1,kraken,Species,EqualReads
Debaryomyces hansenii,10.0,11.634927575331888,small_1,kraken,Species,EqualReads
Kluyveromyces lactis,10.0,11.636555618609929,small_1,kraken,Species,EqualReads
Malassezia restricta,10.0,11.61946116419049,small_1,kraken,Species,EqualReads
Saccharomyces cerevisiae,10.0,11.558176963652771,small_1,kraken,Species,EqualReads
Saccharomyces kudriavzevii,10.0,11.643998102166693,small_1,kraken,Species,EqualReads
Yarrowia lipolytica,10.0,11.612716413467174,small_1,kraken,Species,EqualReads
Aspergillus,10.0,7.257072713569182,small_1,kraken,Genus,EqualReads
Candida,10.0,11.609574365543248,small_1,kraken,Genus,EqualReads
Debaryomyces,10.0,11.619213300336433,small_1,kraken,Genus,EqualReads
Kazachstania,10.0,0.09940877328876972,small_1,kraken,Genus,EqualReads
Kluyveromyces,10.0,11.653007637984835,small_1,kraken,Genus,EqualReads
Malassezia,10.0,11.607367862397819,small_1,kraken,Genus,EqualReads
Neurospora,10.0,9.705246019294128,small_1,kraken,Genus,EqualReads
Saccharomyces,20.0,23.327035121723487,small_1,kraken,Genus,EqualReads
Yarrowia,10.0,11.597032137137655,small_1,kraken,Genus,EqualReads
Aspergillaceae,10.0,7.252185109356966,small_1,kraken,Family,EqualReads
Debaryomycetaceae,20.0,23.211748261482338,small_1,kraken,Family,EqualReads
Dipodascaceae,10.0,11.583660543913883,small_1,kraken,Family,EqualReads
Malasseziaceae,10.0,11.593984351891056,small_1,kraken,Family,EqualReads
Saccharomycetaceae,40.0,35.67826838420805,small_1,kraken,Family,EqualReads
Sordariaceae,10.0,9.694055690564156,small_1,kraken,Family,EqualReads
Candida albicans,10.0,15.85031741785992,small_2,kraken,Species,EqualReads
Debaryomyces hansenii,10.0,15.860130385855397,small_2,kraken,Species,EqualReads
Kluyveromyces lactis,10.0,15.812806556328809,small_2,kraken,Species,EqualReads
Malassezia restricta,10.0,15.818504408713283,small_2,kraken,Species,EqualReads
Saccharomyces cerevisiae,10.0,15.703122897927724,small_2,kraken,Species,EqualReads
Tetrapisispora blattae,10.0,15.791756157241732,small_2,kraken,Species,EqualReads
Candida,20.0,16.09155124107178,small_2,kraken,Genus,EqualReads
