Mock_community,Tool,Level,AvgRelAb,MAE,RMSE,ComType
small_1,kraken,Species,10,1,1,EqualReads
small_1,kraken,Genus,11,2,3,EqualReads
small_1,kraken,Family,18,2,3,EqualReads
small_2,kraken,Species,10,4,4,EqualReads
small_2,kraken,Genus,11,5,5,EqualReads
small_2,kraken,Family,23,5,7,EqualReads
small_3,kraken,Species,10,2,2,EqualReads
small_3,kraken,Genus,11,3,4,EqualReads
small_3,kraken,Family,15,4,5,EqualReads
median_1,kraken,Species,2,1,1,EqualReads
median_1,kraken,Genus,3,1,1,EqualReads
median_1,kraken,Family,5,3,5,EqualReads
median_2,kraken,Species,2,3,3,EqualReads
median_2,kraken,Genus,3,2,2,EqualReads
median_2,kraken,Family,5,3,4,EqualReads
median_3,kraken,Species,2,2,2,EqualReads
median_3,kraken,Genus,3,2,2,EqualReads
median_3,kraken,Family,7,3,5,EqualReads
large_1,kraken,Species,1,1,1,EqualReads
large_1,kraken,Genus,2,1,1,EqualReads
large_1,kraken,Family,3,2,4,EqualReads
large_2,kraken,Species,1,1,1,EqualReads
large_2,kraken,Genus,2,1,1,EqualReads
large_2,kraken,Family,4,2,3,EqualReads
complete_1,kraken,Species,0,1,1,EqualReads
complete_1,kraken,Genus,1,1,1,EqualReads
complete_1,kraken,Family,3,2,4,EqualReads
