Tool,Level,Hst,Pval,FDRp
kraken,Species,0.3578724464374636,0.549690205027584,1.0
eukdetect,Species,0.008339465293100314,0.9272377920468695,1.0
metaphlan,Species,0.03235783963835448,0.8572445394813397,1.0
HMS,Species,3.9212962962962963,0.04767810313602181,0.5593351610558734
funomic,Species,0.09898989898989444,0.7530451783586971,1.0
micop,Species,0.16381156316916218,0.6856712741713271,1.0
kraken,Genus,1.0992543698814183,0.29442979718064566,1.0
eukdetect,Genus,0.009468114731264268,0.9224847905425587,1.0
metaphlan,Genus,0.5882423371647528,0.44309960201142184,1.0
HMS,Genus,2.81782706921339,0.09322252684264556,0.5593351610558734
funomic,Genus,0.12618881929947007,0.722416799903138,1.0
micop,Genus,0.0020553741990086425,0.9638393058093635,1.0
kraken,Family,0.031947380784590994,0.8581431923922984,1.0
eukdetect,Family,0.05241090146749909,0.8189200016767302,1.0
metaphlan,Family,0.5144208037824985,0.47323136078059314,1.0
HMS,Family,3.1588447653429603,0.07551660486766656,0.5593351610558734
funomic,Family,0.001986213342680276,0.9644524837757521,1.0
micop,Family,0.0,1.0,1.0
