Mock_community,Tool,Level,AvgRelAb,MAE,RMSE,ComType
small_1,metaphlan,Species,10,9,10,EqualReads
small_1,metaphlan,Genus,14,7,9,EqualReads
small_1,metaphlan,Family,22,15,17,EqualReads
small_2,metaphlan,Species,13,11,12,EqualReads
small_2,metaphlan,Genus,14,12,13,EqualReads
small_2,metaphlan,Family,28,13,13,EqualReads
small_3,metaphlan,Species,11,8,9,EqualReads
small_3,metaphlan,Genus,12,7,9,EqualReads
small_3,metaphlan,Family,21,12,14,EqualReads
median_1,metaphlan,Species,2,3,4,EqualReads
median_1,metaphlan,Genus,4,6,9,EqualReads
median_1,metaphlan,Family,11,10,13,EqualReads
median_2,metaphlan,Species,2,5,6,EqualReads
median_2,metaphlan,Genus,3,6,8,EqualReads
median_2,metaphlan,Family,7,6,8,EqualReads
median_3,metaphlan,Species,2,4,4,EqualReads
median_3,metaphlan,Genus,3,5,7,EqualReads
median_3,metaphlan,Family,10,7,10,EqualReads
large_1,metaphlan,Species,1,3,3,EqualReads
large_1,metaphlan,Genus,2,4,6,EqualReads
large_1,metaphlan,Family,7,5,8,EqualReads
large_2,metaphlan,Species,1,2,3,EqualReads
large_2,metaphlan,Genus,3,6,8,EqualReads
large_2,metaphlan,Family,9,6,8,EqualReads
complete_1,metaphlan,Species,0,1,1,EqualReads
complete_1,metaphlan,Genus,2,4,6,EqualReads
complete_1,metaphlan,Family,7,4,7,EqualReads
small_1,metaphlan,Species,10,9,10,EqualCoverage
small_1,metaphlan,Genus,12,7,8,EqualCoverage
small_1,metaphlan,Family,20,14,15,EqualCoverage
small_2,metaphlan,Species,10,15,15,EqualCoverage
small_2,metaphlan,Genus,10,14,14,EqualCoverage
small_2,metaphlan,Family,23,13,14,EqualCoverage
small_3,metaphlan,Species,10,9,10,EqualCoverage
small_3,metaphlan,Genus,10,9,9,EqualCoverage
small_3,metaphlan,Family,17,12,13,EqualCoverage
median_1,metaphlan,Species,2,3,3,EqualCoverage
median_1,metaphlan,Genus,4,6,8,EqualCoverage
median_1,metaphlan,Family,10,10,11,EqualCoverage
median_2,metaphlan,Species,2,4,4,EqualCoverage
median_2,metaphlan,Genus,3,6,7,EqualCoverage
median_2,metaphlan,Family,6,6,7,EqualCoverage
median_3,metaphlan,Species,2,4,4,EqualCoverage
median_3,metaphlan,Genus,3,5,6,EqualCoverage
median_3,metaphlan,Family,10,6,8,EqualCoverage
large_1,metaphlan,Species,1,3,3,EqualCoverage
large_1,metaphlan,Genus,2,5,5,EqualCoverage
large_1,metaphlan,Family,6,5,6,EqualCoverage
large_2,metaphlan,Species,1,2,3,EqualCoverage
large_2,metaphlan,Genus,3,6,8,EqualCoverage
large_2,metaphlan,Family,7,6,8,EqualCoverage
complete_1,metaphlan,Species,0,1,1,EqualCoverage
complete_1,metaphlan,Genus,2,4,6,EqualCoverage
complete_1,metaphlan,Family,6,5,7,EqualCoverage
