Taxon name,RelAbCoverage,PredictedRelAb,Mock_community,Tool,Level,ComType
Aspergillus niger,4.02055286420652,5.20197,small_1,metaphlan,Species,EqualReads
Candida albicans,9.564136789729329,18.80117,small_1,metaphlan,Species,EqualReads
Debaryomyces hansenii,11.240611291057338,20.51741,small_1,metaphlan,Species,EqualReads
Malassezia restricta,18.633624917901184,34.75505,small_1,metaphlan,Species,EqualReads
Saccharomyces cerevisiae,11.316186088091417,20.7244,small_1,metaphlan,Species,EqualReads
Aspergillus,4.02055286420652,5.20197,small_1,metaphlan,Genus,EqualReads
Debaryomyces,11.240611291057338,20.51741,small_1,metaphlan,Genus,EqualReads
Malassezia,18.633624917901184,34.75505,small_1,metaphlan,Genus,EqualReads
Saccharomyces,22.782019535523716,20.7244,small_1,metaphlan,Genus,EqualReads
Aspergillaceae,4.02055286420652,5.20197,small_1,metaphlan,Family,EqualReads
Debaryomycetaceae,20.804748080786666,39.31858,small_1,metaphlan,Family,EqualReads
Malasseziaceae,18.633624917901184,34.75505,small_1,metaphlan,Family,EqualReads
Saccharomycetaceae,46.38905524419632,20.7244,small_1,metaphlan,Family,EqualReads
Candida albicans,9.847519473788333,19.85556,small_2,metaphlan,Species,EqualReads
Debaryomyces hansenii,11.573667443238733,21.66806,small_2,metaphlan,Species,EqualReads
Malassezia restricta,19.185733985251005,36.70415,small_2,metaphlan,Species,EqualReads
Saccharomyces cerevisiae,11.651481500260576,21.77223,small_2,metaphlan,Species,EqualReads
Debaryomyces,11.573667443238733,21.66806,small_2,metaphlan,Genus,EqualReads
Malassezia,19.185733985251005,36.70415,small_2,metaphlan,Genus,EqualReads
Saccharomyces,11.651481500260576,21.77223,small_2,metaphlan,Genus,EqualReads
Debaryomycetaceae,32.453629908678224,41.52362,small_2,metaphlan,Family,EqualReads
Malasseziaceae,19.185733985251005,36.70415,small_2,metaphlan,Family,EqualReads
Saccharomycetaceae,34.821162860273255,21.77223,small_2,metaphlan,Family,EqualReads
Aspergillus candidus,5.358173869235143,6.35415,small_3,metaphlan,Species,EqualReads
Candida albicans,10.248322833854944,18.59391,small_3,metaphlan,Species,EqualReads
Debaryomyces hansenii,12.044726658901169,20.29123,small_3,metaphlan,Species,EqualReads
Malassezia restricta,19.966611511525624,34.37192,small_3,metaphlan,Species,EqualReads
Saccharomyces cerevisiae,12.125707821669593,20.38879,small_3,metaphlan,Species,EqualReads
Aspergillus,5.358173869235143,6.35415,small_3,metaphlan,Genus,EqualReads
Debaryomyces,12.044726658901169,20.29123,small_3,metaphlan,Genus,EqualReads
Malassezia,19.966611511525624,34.37192,small_3,metaphlan,Genus,EqualReads
Saccharomyces,12.125707821669593,20.38879,small_3,metaphlan,Genus,EqualReads
Aspergillaceae,5.358173869235143,6.35415,small_3,metaphlan,Family,EqualReads
Debaryomycetaceae,22.29304949275611,38.88514,small_3,metaphlan,Family,EqualReads
Malasseziaceae,19.966611511525624,34.37192,small_3,metaphlan,Family,EqualReads
Saccharomycetaceae,39.22329992994552,20.38879,small_3,metaphlan,Family,EqualReads
Aspergillus glaucus,1.1266904588427626,2.74876,median_1,metaphlan,Species,EqualReads
Aspergillus terreus,1.0753006782141523,1.84936,median_1,metaphlan,Species,EqualReads
Aspergillus thermomutatus,1.019190860702318,2.21833,median_1,metaphlan,Species,EqualReads
Aspergillus tubingensis,0.8999243242976941,1.10594,median_1,metaphlan,Species,EqualReads
Candida albicans,2.208260970069002,6.6856,median_1,metaphlan,Species,EqualReads
Candida parapsilosis,2.4264425515009087,7.33251,median_1,metaphlan,Species,EqualReads
Cryptococcus wingfieldii,1.5793776330113065,2.86696,median_1,metaphlan,Species,EqualReads
Debaryomyces hansenii,2.5953417166110335,7.29589,median_1,metaphlan,Species,EqualReads
Malassezia japonica,3.7397059937581427,11.07737,median_1,metaphlan,Species,EqualReads
Malassezia restricta,4.30231264376039,12.35872,median_1,metaphlan,Species,EqualReads
Malassezia vespertilionis,4.152601829909161,11.97192,median_1,metaphlan,Species,EqualReads
Penicillium chrysogenum,0.9740602560768576,1.53959,median_1,metaphlan,Species,EqualReads
Pneumocystis jirovecii,3.756425956896367,9.49699,median_1,metaphlan,Species,EqualReads
Pneumocystis murina,4.204560953462808,8.67436,median_1,metaphlan,Species,EqualReads
Rhodotorula graminis,1.5008973483452104,2.05535,median_1,metaphlan,Species,EqualReads
Saccharomyces cerevisiae,2.6127911611641963,4.84781,median_1,metaphlan,Species,EqualReads
Saccharomyces paradoxus,2.623658041468593,5.87455,median_1,metaphlan,Species,EqualReads
Aspergillus,4.121106322056927,7.92239,median_1,metaphlan,Genus,EqualReads
Cryptococcus,3.2348459829411222,2.86696,median_1,metaphlan,Genus,EqualReads
Debaryomyces,2.5953417166110335,7.29589,median_1,metaphlan,Genus,EqualReads
