Mock_community,Tool,Level,AvgRelAb,MAE,RMSE,ComType
small_1,micop,Species,10,3,3,EqualReads
small_1,micop,Genus,11,6,7,EqualReads
small_1,micop,Family,18,8,9,EqualReads
small_2,micop,Species,10,4,4,EqualReads
small_2,micop,Genus,11,7,8,EqualReads
small_2,micop,Family,23,10,11,EqualReads
small_3,micop,Species,10,3,3,EqualReads
small_3,micop,Genus,11,5,7,EqualReads
small_3,micop,Family,16,7,9,EqualReads
median_1,micop,Species,2,2,2,EqualReads
median_1,micop,Genus,3,3,5,EqualReads
median_1,micop,Family,7,7,11,EqualReads
median_2,micop,Species,2,4,5,EqualReads
median_2,micop,Genus,4,5,6,EqualReads
median_2,micop,Family,7,7,11,EqualReads
median_3,micop,Species,2,2,4,EqualReads
median_3,micop,Genus,3,3,5,EqualReads
median_3,micop,Family,8,7,9,EqualReads
large_1,micop,Species,1,1,2,EqualReads
large_1,micop,Genus,2,2,3,EqualReads
large_1,micop,Family,5,5,8,EqualReads
large_2,micop,Species,1,1,1,EqualReads
large_2,micop,Genus,2,2,3,EqualReads
large_2,micop,Family,6,4,8,EqualReads
complete_1,micop,Species,0,1,2,EqualReads
complete_1,micop,Genus,1,2,3,EqualReads
complete_1,micop,Family,5,5,8,EqualReads
