Species name,NumSp_from_genus,Detection,Tool,Level,ComType,Community
Candida albicans,2,No,EukDetect,Species,EqualReads,median_1
Debaryomyces hansenii,2,No,EukDetect,Species,EqualReads,median_3
Candida albicans,5,No,EukDetect,Species,EqualReads,median_3
Saccharomyces cerevisiae,3,No,Metaphlan,Species,EqualReads,median_3
Candida albicans,5,No,EukDetect,Species,EqualReads,large_1
Saccharomyces cerevisiae,4,No,Metaphlan,Species,EqualReads,large_1
Candida albicans,9,No,EukDetect,Species,EqualReads,large_2
Saccharomyces cerevisiae,4,No,Metaphlan,Species,EqualReads,large_2
Debaryomyces hansenii,2,No,EukDetect,Species,EqualReads,complete_1
Candida albicans,10,No,EukDetect,Species,EqualReads,complete_1
Saccharomyces cerevisiae,5,No,Metaphlan,Species,EqualReads,complete_1
Candida albicans,2,No,EukDetect,Species,EqualCoverage,median_1
Candida albicans,5,No,EukDetect,Species,EqualCoverage,median_3
Saccharomyces cerevisiae,3,No,Metaphlan,Species,EqualCoverage,median_3
Candida albicans,5,No,EukDetect,Species,EqualCoverage,large_1
Saccharomyces cerevisiae,4,No,Metaphlan,Species,EqualCoverage,large_1
Candida albicans,9,No,EukDetect,Species,EqualCoverage,large_2
Saccharomyces cerevisiae,4,No,Metaphlan,Species,EqualCoverage,large_2
Candida albicans,10,No,EukDetect,Species,EqualCoverage,complete_1
Saccharomyces cerevisiae,5,No,Metaphlan,Species,EqualCoverage,complete_1
