Tool,Level,Hst,Pval,FDRp
kraken,Species,0.017653167185870816,0.8942999719133558,1.0
metaphlan,Species,0.053600706268123355,0.8169121987056887,1.0
eukdetect,Species,0.28422152560082964,0.5939475347464842,1.0
HMS,Species,2.9358667464592028,0.08663215313950881,1.0
kraken,Genus,0.007986845196140471,0.9287885390787135,1.0
metaphlan,Genus,,1.0,1.0
eukdetect,Genus,1.0721268478779071,0.3004655349793107,1.0
HMS,Genus,1.264764764764771,0.2607511088953802,1.0
kraken,Family,0.03174603174603265,0.8585862013366371,1.0
metaphlan,Family,0.0,1.0,1.0
eukdetect,Family,0.009420892213901353,0.9226777291452967,1.0
HMS,Family,0.2014329339910782,0.6535667006444916,1.0
