Tool,Level,Hst,Pval,FDRp
kraken,Species,0.017653167185870816,0.8942999719133558,1.0
metaphlan,Species,0.053600706268123355,0.8169121987056887,1.0
eukdetect,Species,0.1971700301554148,0.6570148787268169,1.0
HMS,Species,2.9358667464592028,0.08663215313950881,0.3898446891277897
funomic,Species,1.4210526315789451,0.23323022278218208,0.6705028514452634
micop,Species,5.080661840744566,0.024194132827025608,0.14516479696215365
kraken,Genus,0.007986845196140471,0.9287885390787135,1.0
metaphlan,Genus,,1.0,1.0
eukdetect,Genus,1.0721268478779071,0.3004655349793107,0.6760474537034492
HMS,Genus,1.264764764764771,0.2607511088953802,0.6705028514452634
funomic,Genus,9.836662075298435,0.0017106763881785255,0.030792174987213462
micop,Genus,2.1449426485922802,0.14304038168152153,0.5149453740534775
kraken,Family,0.03174603174603265,0.8585862013366371,1.0
metaphlan,Family,0.0,1.0,1.0
eukdetect,Family,0.009420892213901353,0.9226777291452967,1.0
HMS,Family,0.2014329339910782,0.6535667006444916,1.0
funomic,Family,5.085921325051755,0.02412085743254019,0.14516479696215365
micop,Family,0.640167364016733,0.4236501987365423,0.8473003974730846
