Tool,Level,Hst,Pval,FDRp
kraken_vs_metaphlan,Species,26.59197498697237,2.5128535770410044e-07,7.395287154887544e-07
kraken_vs_eukdetect,Species,26.33126934984519,2.875945004678489e-07,7.395287154887544e-07
kraken_vs_HMS,Species,0.4726062296606106,0.4917906181380106,0.5207194780284818
metaphlan_vs_eukdetect,Species,2.812397848503764,0.09353846789732598,0.12026374443941912
metaphlan_vs_HMS,Species,24.191413541489894,8.722027429195947e-07,1.8423120536557618e-06
eukdetect_vs_HMS,Species,23.88339755402914,1.0235066964754233e-06,1.8423120536557618e-06
kraken_vs_metaphlan,Genus,30.115078194157554,4.071532161810256e-08,7.328757891258461e-07
kraken_vs_eukdetect,Genus,26.474708171206213,2.6701122005769563e-07,7.395287154887544e-07
kraken_vs_HMS,Genus,7.589644810273066,0.005870451438401062,0.008128317376247625
metaphlan_vs_eukdetect,Genus,16.591075347476227,4.636870760535212e-05,6.955306140802819e-05
metaphlan_vs_HMS,Genus,28.455089820359273,9.589732528699499e-08,7.395287154887544e-07
eukdetect_vs_HMS,Genus,23.991921911814195,9.674073645652682e-07,1.8423120536557618e-06
kraken_vs_metaphlan,Family,26.971458773784345,2.0648197697325377e-07,7.395287154887544e-07
kraken_vs_eukdetect,Family,26.90746111257579,2.13433345406314e-07,7.395287154887544e-07
kraken_vs_HMS,Family,20.12625850340135,7.249452483850335e-06,1.1862740428118729e-05
metaphlan_vs_eukdetect,Family,0.9501056057615799,0.32969241773367763,0.3956309012804131
metaphlan_vs_HMS,Family,0.0015669515669387852,0.968424194363963,0.968424194363963
eukdetect_vs_HMS,Family,0.5058682634730521,0.47693294420509214,0.5207194780284818
