Tool,Level,Hst,Pval,FDRp
kraken_vs_metaphlan,Species,26.59197498697237,2.5128535770410044e-07,8.873555942715475e-07
kraken_vs_eukdetect,Species,26.32787308138784,2.881006705775249e-07,8.873555942715475e-07
kraken_vs_HMS,Species,0.4726062296606106,0.4917906181380106,0.5029676776411472
kraken_vs_funomic,Species,2.9211746522411133,0.08742420098439418,0.09835222610744346
kraken_vs_micop,Species,26.297346044833795,2.9269060771321925e-07,8.873555942715475e-07
metaphlan_vs_eukdetect,Species,3.4983880792143904,0.06142859173321955,0.07087914430756102
metaphlan_vs_HMS,Species,24.191413541489894,8.722027429195947e-07,2.180506857298987e-06
metaphlan_vs_funomic,Species,26.571205415256433,2.540013608092454e-07,8.873555942715475e-07
metaphlan_vs_micop,Species,25.925925925925945,3.547722454436055e-07,9.977969403101404e-07
eukdetect_vs_HMS,Species,23.87939698492461,1.025635926235295e-06,2.2745742077648258e-06
eukdetect_vs_funomic,Species,26.307513854878195,2.911537276920819e-07,8.873555942715475e-07
eukdetect_vs_micop,Species,22.870919668701465,1.7325332675422406e-06,3.3897390017130796e-06
HMS_vs_funomic,Species,2.5332589866547623,0.11146977710564043,0.12234487731106877
HMS_vs_micop,Species,23.142212558770506,1.5045127368053932e-06,3.07741241619285e-06
funomic_vs_micop,Species,26.277033985581863,2.957851980905158e-07,8.873555942715475e-07
kraken_vs_metaphlan,Genus,30.115078194157554,4.071532161810256e-08,8.873555942715475e-07
kraken_vs_eukdetect,Genus,26.474708171206213,2.6701122005769563e-07,8.873555942715475e-07
kraken_vs_HMS,Genus,7.589644810273066,0.005870451438401062,0.007338064298001327
kraken_vs_funomic,Genus,23.813294316779967,1.0614679636235853e-06,2.2745742077648258e-06
kraken_vs_micop,Genus,26.38231872818921,2.8009276300386007e-07,8.873555942715475e-07
metaphlan_vs_eukdetect,Genus,16.591075347476227,4.636870760535212e-05,7.195144283589122e-05
metaphlan_vs_HMS,Genus,28.455089820359273,9.589732528699499e-08,8.873555942715475e-07
metaphlan_vs_funomic,Genus,30.017647058823517,4.281322574148473e-08,8.873555942715475e-07
metaphlan_vs_micop,Genus,20.583430571761955,5.708808418048687e-06,9.514680696747812e-06
eukdetect_vs_HMS,Genus,23.991921911814195,9.674073645652682e-07,2.2745742077648258e-06
eukdetect_vs_funomic,Genus,26.399379203310904,2.776296979079505e-07,8.873555942715475e-07
eukdetect_vs_micop,Genus,10.643167170853605,0.0011047831394949829,0.0014622129787433596
HMS_vs_funomic,Genus,13.76586636888142,0.0002070644533710731,0.00030057743231284807
HMS_vs_micop,Genus,21.980667262436675,2.75410719893524e-06,4.957392958083432e-06
funomic_vs_micop,Genus,13.260424276280922,0.000271068292039402,0.00038118978568040906
kraken_vs_metaphlan,Family,26.971458773784345,2.0648197697325377e-07,8.873555942715475e-07
kraken_vs_eukdetect,Family,26.90746111257579,2.13433345406314e-07,8.873555942715475e-07
kraken_vs_HMS,Family,20.12625850340135,7.249452483850335e-06,1.165090577761661e-05
kraken_vs_funomic,Family,25.05347670250895,5.576212174357197e-07,1.4760561638004345e-06
kraken_vs_micop,Family,26.372093023255804,2.815795609728288e-07,8.873555942715475e-07
metaphlan_vs_eukdetect,Family,0.9501056057615799,0.32969241773367763,0.35324187614322605
metaphlan_vs_HMS,Family,0.0015669515669387852,0.968424194363963,0.968424194363963
metaphlan_vs_funomic,Family,21.7254919327458,3.1458308735998443e-06,5.4447072812305e-06
metaphlan_vs_micop,Family,6.169245323323865,0.012999004907886514,0.015809600563645762
eukdetect_vs_HMS,Family,0.5058682634730521,0.47693294420509214,0.49911587184253825
eukdetect_vs_funomic,Family,22.57978057580443,2.015951359748265e-06,3.7799087995279974e-06
eukdetect_vs_micop,Family,10.853777169782653,0.000985944465563145,0.0013444697257679252
HMS_vs_funomic,Family,10.58237783470917,0.0011417071685635694,0.0014679092167245891
HMS_vs_micop,Family,3.7179273842307787,0.0538311523296296,0.06374741723245611
funomic_vs_micop,Family,15.443067033976128,8.502828799479926e-05,0.0001275424319921989
