Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,0.9829286878458934,0.9661488053904497,3.438165946656714e-13,4.1257991359880576e-12
metaphlan,Species,-0.37175958885116983,0.13820519190279085,0.1287463088067048,0.19311946321005719
eukdetect,Species,-0.07667983540223625,0.005879797157314043,0.7623358406155092,0.8316390988532828
HMS,Species,0.8159955961493174,0.6658488129350799,0.00020747539404647567,0.0006013271815487152
kraken,Genus,0.963045290130652,0.9274562308428317,1.5573397657268755e-10,9.344038594361253e-10
metaphlan,Genus,0.0,0.0,1.0,1.0
eukdetect,Genus,-0.560471265613639,0.3141280395785543,0.01554673106554496,0.03109346213108992
HMS,Genus,0.8101370110183134,0.6563219766216868,0.00025055299231196466,0.0006013271815487152
kraken,Family,0.8928135018098351,0.7971159490139405,6.228181374852142e-07,2.4912725499408567e-06
metaphlan,Family,-0.4119904060875762,0.16973609470820594,0.0893461266383696,0.15316478852291932
eukdetect,Family,-0.25635963953386515,0.06572026478193327,0.30449141942916164,0.36538970331499393
HMS,Family,0.3028237899930205,0.09170224778573699,0.27259725754908026,0.36346301006544035
