Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,0.9829286878458934,0.9661488053904497,3.438165946656714e-13,6.1886987039820856e-12
metaphlan,Species,-0.3495917074524505,0.12221436191951973,0.15501191553311253,0.27902144795960254
eukdetect,Species,0.017666364249989165,0.0003121004258132952,0.94453109739366,1.0
HMS,Species,0.8159955961493174,0.6658488129350799,0.00020747539404647567,0.0009019907723230728
funomic,Species,0.21301748659734074,0.045376449596248244,0.39606012184398387,0.5092201566565506
micop,Species,0.38391291784458975,0.14738912848794672,0.11575438127015038,0.26044735785783835
kraken,Genus,0.963045290130652,0.9274562308428317,1.5573397657268755e-10,1.401605789154188e-09
metaphlan,Genus,0.0,0.0,1.0,1.0
eukdetect,Genus,-0.560471265613639,0.3141280395785543,0.01554673106554496,0.04664019319663488
HMS,Genus,0.8101370110183134,0.6563219766216868,0.00025055299231196466,0.0009019907723230728
funomic,Genus,-0.006707117451427045,4.498542450723722e-05,0.9789278462875832,1.0
micop,Genus,-0.3058568395907776,0.09354840632445866,0.21708082169739829,0.3552231627775608
kraken,Family,0.8928135018098351,0.7971159490139405,6.228181374852142e-07,3.736908824911285e-06
metaphlan,Family,-0.4119904060875762,0.16973609470820594,0.0893461266383696,0.22974718278437897
eukdetect,Family,-0.25635963953386515,0.06572026478193327,0.30449141942916164,0.42160350382499306
HMS,Family,0.3028237899930205,0.09170224778573699,0.27259725754908026,0.4088958863236204
funomic,Family,-0.023923723672636912,0.0005723445543646877,0.924929795452539,1.0
micop,Family,-0.35609421876823666,0.1268030926401608,0.1469561315482753,0.27902144795960254
