Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,-0.4916247748439745,0.2416949192403886,0.03825199623390635,0.04050211365943025
metaphlan,Species,-0.8244193795499445,0.6796673133775154,2.5762287361792502e-05,0.00011593029312806626
eukdetect,Species,-0.8164807242397437,0.6666407730550564,3.5731731654517666e-05,0.0001286342339562636
HMS,Species,-0.7720589626112807,0.596075041748407,0.0007446371143256343,0.0013403468057861417
funomic,Species,-0.8474600395052355,0.7181885185582153,9.028183457603978e-06,5.416910074562387e-05
micop,Species,-0.754526520756547,0.56931027052498,0.00029644536587807756,0.0007622880836864851
kraken,Genus,-0.684605398021735,0.4686845510004983,0.0017226632216782807,0.002214852713586361
metaphlan,Genus,-0.64216891843475,0.4123809198036566,0.004059587408842266,0.004871504890610719
eukdetect,Genus,-0.7034539658622943,0.4948474820873898,0.0011249971155763887,0.001687495673364583
HMS,Genus,-0.7915443533944331,0.6265424633906111,0.0004382745631950714,0.0008765491263901428
funomic,Genus,-0.8547821507610195,0.7306525252596342,6.240559974887079e-06,5.416910074562387e-05
micop,Genus,-0.7163702179445388,0.513186289157906,0.0008245059591544432,0.0013491915695254524
kraken,Family,-0.4867609738417229,0.23693624565534244,0.04050453116826316,0.04050453116826316
metaphlan,Family,-0.7875976261196418,0.6203100206692951,0.00010433680643738342,0.0003130104193121503
eukdetect,Family,-0.7479169217014751,0.5593797217674104,0.0003583664015767609,0.000806324403547712
HMS,Family,-0.5589861272767911,0.3124654904879049,0.03029296763488372,0.03407958858924419
funomic,Family,-0.8777436914063995,0.7704339878037327,1.6984330835656856e-06,3.0571795504182346e-05
micop,Family,-0.6948046804343353,0.4827535439534588,0.0013732138350305732,0.0019013730023500245
