Tool,Level,Hst,Pval,FDRp
kraken,Species,0.0,1.0,1.0
metaphlan,Species,0.0,1.0,1.0
eukdetect,Species,0.00785400785400092,0.9293816554307934,1.0
HMS,Species,0.22626262626263272,0.6343089895833158,1.0
kraken,Genus,0.0,1.0,1.0
metaphlan,Genus,0.0,1.0,1.0
eukdetect,Genus,0.03201506591337191,0.8579945949901748,1.0
HMS,Genus,0.03164556962025316,0.8588077805669398,1.0
kraken,Family,0.0,1.0,1.0
metaphlan,Family,0.0,1.0,1.0
eukdetect,Family,0.017689906347547968,0.8941906858247493,1.0
HMS,Family,0.03164556962025316,0.8588077805669398,1.0
