Tool,Level,Hst,Pval,FDRp
kraken,Species,0.0,1.0,1.0
metaphlan,Species,0.0,1.0,1.0
eukdetect,Species,0.017689906347547968,0.8941906858247493,1.0
HMS,Species,0.22626262626263272,0.6343089895833158,1.0
funomic,Species,0.0,1.0,1.0
micop,Species,0.0,1.0,1.0
kraken,Genus,0.0,1.0,1.0
metaphlan,Genus,0.0,1.0,1.0
eukdetect,Genus,0.008003766478335684,0.928713343951911,1.0
HMS,Genus,0.03164556962025316,0.8588077805669398,1.0
funomic,Genus,0.0,1.0,1.0
micop,Genus,0.7080881504557504,0.4000792311321387,1.0
kraken,Family,0.0,1.0,1.0
metaphlan,Family,0.0,1.0,1.0
eukdetect,Family,0.017689906347547968,0.8941906858247493,1.0
HMS,Family,0.03164556962025316,0.8588077805669398,1.0
funomic,Family,0.0,1.0,1.0
micop,Family,0.01783840503671941,0.8937501269818784,1.0
