Tool,Level,Hst,Pval,FDRp
kraken_vs_metaphlan,Species,5.222797927461143,0.02229265550347766,0.02866198564732842
kraken_vs_eukdetect,Species,9.875631558492028,0.0016748209925678843,0.0030146777866221913
kraken_vs_HMS,Species,6.819778002018168,0.009015377415480922,0.013523066123221383
metaphlan_vs_eukdetect,Species,26.378909278883423,2.8058761390428456e-07,2.382640524611502e-06
metaphlan_vs_HMS,Species,1.3489315519628708,0.24546499119558043,0.24546499119558043
eukdetect_vs_HMS,Species,23.891402714932116,1.0192593961372592e-06,3.6693338260941327e-06
kraken_vs_metaphlan,Genus,9.64589072543616,0.0018977565017352434,0.0031054197301122162
kraken_vs_eukdetect,Genus,16.48953301127214,4.8919392730736905e-05,0.00014675817819221072
kraken_vs_HMS,Genus,2.102394684286146,0.1470686466676801,0.16511640286753212
metaphlan_vs_eukdetect,Genus,26.413043478260857,2.756726178741368e-07,2.382640524611502e-06
metaphlan_vs_HMS,Genus,5.400273423600572,0.02013359713483799,0.027877288340544912
eukdetect_vs_HMS,Genus,23.951612903225797,9.878749684686362e-07,3.6693338260941327e-06
kraken_vs_metaphlan,Family,10.481865284974088,0.0012055198367354966,0.0024270213711807907
kraken_vs_eukdetect,Family,10.46965972312071,0.0012135106855903953,0.0024270213711807907
kraken_vs_HMS,Family,2.0131302876480506,0.15594326937489145,0.16511640286753212
metaphlan_vs_eukdetect,Family,25.708342299691576,3.9710675410191703e-07,2.382640524611502e-06
metaphlan_vs_HMS,Family,5.047611586742003,0.02465990797507645,0.029591889570091737
eukdetect_vs_HMS,Family,12.099630748573333,0.0005043180917002015,0.0012968179500862324
