Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,-0.7747910015933298,0.6003010961499952,0.00015953638914362886,0.00038288733394470923
metaphlan,Species,-0.7670098562713473,0.5883041196173929,0.00020383778668316136,0.0004076755733663227
eukdetect,Species,-0.8209952810696121,0.6740332515385713,2.97236141293832e-05,0.0001188944565175328
HMS,Species,-0.2587598090321308,0.0669566387703448,0.3517357648842152,0.3517357648842152
kraken,Genus,-0.7750035668905976,0.6006305286931489,0.00015845099076661835,0.00038288733394470923
metaphlan,Genus,-0.8548876761016486,0.7308329387504773,6.2065389205698435e-06,7.447846704683812e-05
eukdetect,Genus,-0.47200604734300916,0.222789708728371,0.04796096608345374,0.06132912733521617
HMS,Genus,-0.6541145094712929,0.4278657915008701,0.008159060866672558,0.012238591300008837
kraken,Family,-0.6895952144391716,0.4755415597774071,0.001543502941560626,0.002646005042675359
metaphlan,Family,-0.8345434572841561,0.6964627820957922,1.657075965323616e-05,9.942455791941697e-05
eukdetect,Family,-0.28359463396085677,0.08042591641139234,0.25411109721133907,0.27721210604873353
HMS,Family,-0.5118734954993692,0.26201447539474276,0.05110760611268014,0.06132912733521617
