Tool,Level,PearsonR,PearsonR2,Pval,FDRp
kraken,Species,-0.7747910015933298,0.6003010961499952,0.00015953638914362886,0.0004958910958258268
metaphlan,Species,-0.7736828793232996,0.5985851977579913,0.00016529703194194224,0.0004958910958258268
eukdetect,Species,-0.8113783770710121,0.6583348707783895,4.373954417438916e-05,0.000262437265046335
HMS,Species,-0.2587598090321308,0.0669566387703448,0.3517357648842152,0.3724261039950514
funomic,Species,-0.6228995860092996,0.38800389425055687,0.0057567996903490435,0.010703497744146988
micop,Species,-0.33752880593783413,0.1139256948378201,0.1707466643344584,0.20489599720135007
kraken,Genus,-0.7777200742465166,0.6048485138860072,0.00014512031698575174,0.0004958910958258268
metaphlan,Genus,-0.856412944008174,0.7334431306647479,5.7322765676727334e-06,0.0001031809782181092
eukdetect,Genus,-0.5072929536429702,0.25734614081580875,0.03164346473506656,0.043814028094707545
HMS,Genus,-0.657587175808688,0.4324208937880463,0.007714450953710949,0.01262364701516337
funomic,Genus,-0.6983353131272075,0.487672209560475,0.0012669105927566662,0.0032577700956599987
micop,Genus,-0.5196776775820934,0.2700648885771182,0.02707470815111283,0.04061206222666925
kraken,Family,-0.6895952144391716,0.4755415597774071,0.001543502941560626,0.003472881618511409
metaphlan,Family,-0.8345434572841561,0.6964627820957922,1.657075965323616e-05,0.00014913683687912545
eukdetect,Family,-0.28359463396085677,0.08042591641139234,0.25411109721133907,0.2858749843627565
HMS,Family,-0.5118734954993692,0.26201447539474276,0.05110760611268014,0.06570977928773161
funomic,Family,0.0207455235831618,0.00043037674873952237,0.9348811092446678,0.9348811092446678
micop,Family,-0.6210476686744744,0.3857002067659997,0.005946387635637216,0.010703497744146988
