Profile,ComType,Genus,NumSpecies,InclSpecies,Tool,SpeciesDet,MissedSp,GenusDetected
small_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",Kraken,2,[],Yes
small_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",Euk,1,['Saccharomyces kudriavzevii'],Yes
small_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",Metaphlan,1,['Saccharomyces kudriavzevii'],Yes
small_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",HMS,0,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",No
small_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",FunOMIC,2,[],Yes
small_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii']",MiCoP,1,['Saccharomyces kudriavzevii'],Yes
small_2,EqualReads,Candida,2,"['Candida albicans', 'Candida oxycetoniae']",Kraken,1,['Candida oxycetoniae'],Yes
small_2,EqualReads,Candida,2,"['Candida albicans', 'Candida oxycetoniae']",Euk,1,['Candida oxycetoniae'],Yes
small_2,EqualReads,Candida,2,"['Candida albicans', 'Candida oxycetoniae']",Metaphlan,1,['Candida oxycetoniae'],Yes
small_2,EqualReads,Candida,2,"['Candida albicans', 'Candida oxycetoniae']",HMS,1,['Candida oxycetoniae'],Yes
small_2,EqualReads,Candida,2,"['Candida albicans', 'Candida oxycetoniae']",FunOMIC,1,['Candida oxycetoniae'],Yes
small_2,EqualReads,Candida,2,"['Candida albicans', 'Candida oxycetoniae']",MiCoP,1,['Candida oxycetoniae'],Yes
small_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",Kraken,2,[],Yes
small_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",Euk,2,[],Yes
small_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",Metaphlan,0,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",No
small_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",HMS,1,['Kluyveromyces lactis'],Yes
small_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",FunOMIC,2,[],Yes
small_3,EqualReads,Kluyveromyces,2,"['Kluyveromyces lactis', 'Kluyveromyces marxianus']",MiCoP,2,[],Yes
median_1,EqualReads,Kwoniella,5,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",Kraken,0,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",No
median_1,EqualReads,Kwoniella,5,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",Euk,2,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shivajii']",Yes
median_1,EqualReads,Kwoniella,5,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",Metaphlan,0,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",No
median_1,EqualReads,Kwoniella,5,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",HMS,0,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",No
median_1,EqualReads,Kwoniella,5,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",FunOMIC,2,"['Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii']",Yes
median_1,EqualReads,Kwoniella,5,"['Kwoniella bestiolae', 'Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii', 'Kwoniella mangrovensis']",MiCoP,2,"['Kwoniella botswanensis', 'Kwoniella shandongensis', 'Kwoniella shivajii']",Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",Kraken,0,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",Euk,4,[],Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",Metaphlan,4,[],Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",HMS,1,"['Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",FunOMIC,4,[],Yes
median_1,EqualReads,Aspergillus,4,"['Aspergillus terreus', 'Aspergillus thermomutatus', 'Aspergillus glaucus', 'Aspergillus tubingensis']",MiCoP,2,"['Aspergillus thermomutatus', 'Aspergillus tubingensis']",Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Kraken,3,[],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Euk,1,"['Malassezia vespertilionis', 'Malassezia japonica']",Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Metaphlan,3,[],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",HMS,2,['Malassezia vespertilionis'],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",FunOMIC,3,[],Yes
median_1,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",MiCoP,0,"['Malassezia restricta', 'Malassezia vespertilionis', 'Malassezia japonica']",Yes
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Kraken,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Euk,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Yes
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",Metaphlan,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",HMS,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",FunOMIC,1,"['Alternaria postmessia', 'Alternaria ethzedia']",Yes
median_1,EqualReads,Alternaria,3,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",MiCoP,0,"['Alternaria rosae', 'Alternaria postmessia', 'Alternaria ethzedia']",No
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",Kraken,2,[],Yes
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",Euk,1,['Saccharomyces paradoxus'],Yes
median_1,EqualReads,Saccharomyces,2,"['Saccharomyces cerevisiae', 'Saccharomyces paradoxus']",Metaphlan,2,[],Yes
