MockCommunity	GeneratedReads	NumSpecies	NumGenera	NumFamily	ClassifiedEukaryota	ClassifiedBacteria	ClassifiedViruses	ClassifiedHuman	TDSpecies	TDGenera	TDFamily	FDSpecies	FDGenera	FDFamily	PropEukaryota	PropHuman	PropBacteria	PropViruses	PropUnclassified	RecallSpecies	PrecisionSpecies	RecallGenera	PrecisionGenera	RecallFamily	PrecisionFamily	Tool	ComType	ClassifiedReads	UnclassifiedReads
median_2	5000000.0	50.0	37.0	25.0	2111450.0	46867.0	402.0	114530.0	13.0	15.0	15.0	82.0	39.0	17.0	42.229	2.2906	0.93734	0.00804	56.82562	26.0	13.684210526315791	40.54054054054054	27.77777777777778	60.0	46.875	kraken	EqualReads		
large_2	10000000.0	100.0	59.0	33.0	4564110.0	80408.0	780.0	172186.0	33.0	26.0	17.0	62.0	28.0	15.0	45.6411	1.72186	0.8040800000000001	0.0078	53.54702	33.0	34.73684210526316	44.06779661016949	48.14814814814815	51.51515151515152	53.125	kraken	EqualReads		
median_1	5000000.0	50.0	33.0	22.0	2333145.0	49407.0	402.0	46906.0	18.0	18.0	14.0	77.0	36.0	18.0	46.6629	0.93812	0.98814	0.00804	52.34092	36.0	18.947368421052637	54.54545454545454	33.33333333333333	63.63636363636363	43.75	kraken	EqualReads		
small_2	1000000.0	10.0	9.0	6.0	630678.0	5101.0	46.0	20580.0	6.0	6.0	3.0	86.0	48.0	29.0	63.0678	2.0580000000000003	0.5101	0.0046	36.4175	60.0	6.521739130434782	66.66666666666666	11.11111111111111	50.0	9.375	kraken	EqualReads		
small_1	1000000.0	10.0	9.0	6.0	860814.0	2027.0	33.0	5806.0	7.0	9.0	6.0	80.0	43.0	25.0	86.0814	0.5806	0.2027	0.0033	13.712599999999998	70.0	8.045977011494253	100.0	17.307692307692307	100.0	19.35483870967742	kraken	EqualReads		
large_1	10000000.0	100.0	67.0	44.0	4422769.0	105072.0	1016.0	176265.0	32.0	26.0	20.0	63.0	28.0	12.0	44.22769	1.76265	1.05072	0.01016	54.71143000000001	32.0	33.68421052631579	38.80597014925373	48.14814814814815	45.45454545454545	62.5	kraken	EqualReads		
complete_1	16500000.0	165.0	90.0	50.0	6227054.0	165884.0	1573.0	288860.0	43.0	31.0	20.0	52.0	23.0	12.0	37.73972121212121	1.7506666666666666	1.0053575757575757	0.0095333333333333	61.24538787878788	26.060606060606062	45.26315789473684	34.44444444444444	57.407407407407405	40.0	62.5	kraken	EqualReads		
median_3	5000000.0	50.0	36.0	20.0	2314968.0	40023.0	392.0	61194.0	19.0	18.0	10.0	76.0	36.0	22.0	46.29936	1.22388	0.8004600000000001	0.00784	52.89234	38.0	20.0	50.0	33.33333333333333	50.0	31.25	kraken	EqualReads		
small_3	1000000.0	10.0	9.0	7.0	715026.0	3337.0	19.0	4463.0	7.0	7.0	6.0	84.0	46.0	25.0	71.5026	0.4463	0.3337	0.0019	28.1618	70.0	7.6923076923076925	77.77777777777779	13.20754716981132	85.71428571428571	19.35483870967742	kraken	EqualReads		
median_2_EC	14050238.0	50.0	37.0	25.0	5742862.0	137849.0	1106.0	349451.0	13.0	15.0	15.0	82.0	39.0	17.0	40.87377025214804	2.4871535983945607	0.9811150529976788	0.0078717527774262	58.13724294207685	26.0	13.684210526315791	40.54054054054054	27.77777777777778	60.0	46.875	kraken	EqualCoverage		
median_1_EC	14026914.0	50.0	33.0	22.0	5091238.0	149426.0	1160.0	140112.0	18.0	18.0	14.0	77.0	36.0	18.0	36.29620884536685	0.9988797250770912	1.0652806454791126	0.0082698161548577	62.63024069299918	36.0	18.947368421052637	54.54545454545454	33.33333333333333	63.63636363636363	43.75	kraken	EqualCoverage		
