Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Mucoromycota	phylum	Mucoromycota	1913637	11.5461	17.9179	6694	579764
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Rhizopodaceae|genus-Rhizopus|species-Rhizopus_microsporus	species	Rhizopus microsporus	58291	11.7548	0.98	3113	264829
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Cokeromyces|species-Cokeromyces_recurvatus	species	Cokeromyces recurvatus	90255	13.468	1.1228	3338	247847
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Mucor|species-Mucor_racemosus	species	Mucor racemosus	4841	2.271	0.1893	36	15852
phylum-Microsporidia	phylum	Microsporidia	6029	22.4733	34.8755	1434	63809
phylum-Microsporidia|family-Unikaryonidae|genus-Encephalitozoon|species-Encephalitozoon_cuniculi	species	Encephalitozoon cuniculi	6035	22.4733	1.8736	1434	63809
phylum-Ascomycota	phylum	Ascomycota	4890	16.3017	25.298	372160	22829492
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_tetrasperma	species	Neurospora tetrasperma	40127	14.3722	1.1982	4799	333909
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Sordaria|species-Sordaria_macrospora	species	Sordaria macrospora	5147	18.4045	1.5344	6523	354424
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Chaetomiaceae|genus-Chaetomium|species-Chaetomium_globosum	species	Chaetomium globosum	38033	18.189	1.5164	6107	335753
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_proliferatum	species	Fusarium proliferatum	948311	7.6077	0.6343	1517	199402
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Cordycipitaceae|genus-Beauveria|species-Beauveria_bassiana	species	Beauveria bassiana	176275	9.7316	0.8113	2381	244666
phylum-Ascomycota|class-Sordariomycetes|order-Microascales|family-Microascaceae|genus-Scedosporium|species-Scedosporium_apiospermum	species	Scedosporium apiospermum	563466	16.8312	1.4032	6131	364265
