Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Mucoromycota	phylum	Mucoromycota	1913637	3.5997	4.1196	1876	521156
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Rhizopodaceae|genus-Rhizopus|species-Rhizopus_microsporus	species	Rhizopus microsporus	58291	3.8999	0.476	942	241546
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Cokeromyces|species-Cokeromyces_recurvatus	species	Cokeromyces recurvatus	90255	3.6727	0.4482	862	234707
phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Mucor|species-Mucor_racemosus	species	Mucor racemosus	4841	1.3031	0.159	15	11511
phylum-Microsporidia	phylum	Microsporidia	6029	66.1505	75.7041	4221	63809
phylum-Microsporidia|family-Unikaryonidae|genus-Encephalitozoon|species-Encephalitozoon_cuniculi	species	Encephalitozoon cuniculi	6035	66.1505	8.0734	4221	63809
phylum-Ascomycota	phylum	Ascomycota	4890	8.4956	9.7225	284047	33434733
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Pichia|species-Pichia_membranifaciens	species	Pichia membranifaciens	4926	14.493	1.7688	4750	327744
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Brettanomyces|species-Brettanomyces_bruxellensis	species	Brettanomyces bruxellensis	5007	11.553	1.41	3699	320177
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_philodendri	species	Ogataea philodendri	1378263	18.9613	2.3141	6071	320179
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_eubayanus	species	Saccharomyces eubayanus	1080349	13.3599	1.6305	4064	304194
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	species	Saccharomyces cerevisiae	4932	14.1452	1.7264	4357	308020
