Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Saccharomyces cerevisiae S288C	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	559292	182	4305	100.0%	81.39%	99.92%
Saccharomyces eubayanus	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_eubayanus	1080349	181	4173	100.0%	79.28%	99.94%
Kluyveromyces marxianus DMKU3-1042	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Kluyveromyces|species-Kluyveromyces_marxianus	1003335	163	4519	100.0%	81.09%	99.85%
Scheffersomyces stipitis CBS 6054	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Scheffersomyces|species-Scheffersomyces_stipitis	322104	182	3903	100.0%	72.69%	99.87%
Ogataea philodendri	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_philodendri	1378263	152	6175	100.0%	87.54%	99.82%
Clavispora lusitaniae ATCC 42720	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	306902	173	4474	100.0%	79.25%	99.85%
Pichia kudriavzevii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Pichia|species-Pichia_kudriavzevii	4909	158	4566	100.0%	79.86%	99.85%
Hyphopichia burtonii NRRL Y-1933	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Hyphopichia|species-Hyphopichia_burtonii	984485	181	4632	99.45%	77.97%	99.87%
Debaryomyces hansenii CBS767	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	284592	182	4282	99.45%	77.8%	99.91%
Naumovozyma castellii CBS 4309	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Naumovozyma|species-Naumovozyma_castellii	1064592	181	4728	99.45%	82.66%	99.85%
Zygotorulaspora mrakii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygotorulaspora|species-Zygotorulaspora_mrakii	42260	177	5387	99.44%	83.19%	99.84%
Suhomyces tanzawaensis NRRL Y-17324	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Suhomyces|species-Suhomyces_tanzawaensis	984487	179	4471	99.44%	76.28%	99.85%
Torulaspora delbrueckii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Torulaspora|species-Torulaspora_delbrueckii	4950	174	5920	99.43%	83.96%	99.82%
Tetrapisispora phaffii CBS 4417	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Tetrapisispora|species-Tetrapisispora_phaffii	1071381	171	4003	99.42%	78.21%	99.88%
Cyberlindnera jadinii NRRL Y-1542	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Cyberlindnera|species-Cyberlindnera_jadinii	983966	171	4409	99.42%	77.27%	99.88%
Priceomyces carsonii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Priceomyces|species-Priceomyces_carsonii	28549	168	4368	99.41%	81.57%	99.66%
Lodderomyces elongisporus NRRL YB-4239	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Lodderomyces|species-Lodderomyces_elongisporus	379508	165	2966	99.4%	68.59%	99.62%
Eremothecium cymbalariae DBVPG#7215	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Eremothecium|species-Eremothecium_cymbalariae	931890	162	4934	99.39%	84.73%	99.84%
Ascoidea rubescens DSM 1968	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Ascoideaceae|genus-Ascoidea|species-Ascoidea_rubescens	1344418	161	2538	99.38%	61.76%	99.88%
