Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota	phylum	Ascomycota	4890	8.1731	50.6449	88718	10854820
phylum-Ascomycota|class-Eurotiomycetes	class	Eurotiomycetes	147545	3.064	5.2808	5837	1905030
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales	order	Eurotiales	5042	3.2434	4.7789	4825	1487642
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae	family	Aspergillaceae	1131492	3.2434	2.2769	4825	1487642
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus	genus	Aspergillus	5052	3.2434	1.2183	4825	1487642
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_aculeatinus	species	Aspergillus aculeatinus	487661	2.0236	0.6477	513	253509
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_lentulus	species	Aspergillus lentulus	293939	2.8827	0.9226	1053	365277
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_candidus	species	Aspergillus candidus	41067	4.6048	1.4738	1648	357885
phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_fischeri	species	Aspergillus fischeri	36630	3.93	1.2578	1377	350385
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales	order	Onygenales	33183	2.4246	3.5725	1012	417388
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae	family	Arthrodermataceae	34384	2.4246	1.7021	1012	417388
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton	genus	Trichophyton	5550	2.4246	0.9108	1012	417388
phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton|species-Trichophyton_violaceum	species	Trichophyton violaceum	34388	0.5719	0.183	52	90930
phylum-Ascomycota|class-Sordariomycetes	class	Sordariomycetes	147550	1.9607	3.3792	2553	1302098
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales	order	Sordariales	5139	2.8858	4.252	1813	628255
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae	family	Sordariaceae	5148	2.8858	2.0258	1813	628255
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora	genus	Neurospora	5140	2.8858	1.084	1813	628255
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_crassa	species	Neurospora crassa	5141	2.7278	0.873	812	297678
