Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Malassezia restricta	species	phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	76775	150	7819	100.0%	86.71%	99.78%
Tetrapisispora blattae CBS 6284	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Tetrapisispora|species-Tetrapisispora_blattae	1071380	165	3250	99.4%	73.72%	99.9%
Kluyveromyces lactis	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Kluyveromyces|species-Kluyveromyces_lactis	28985	162	4418	99.39%	80.72%	99.86%
Saccharomyces cerevisiae S288C	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	559292	180	4321	98.9%	81.69%	99.9%
Candida albicans SC5314	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Candida|species-Candida_albicans	237561	164	3002	98.2%	74.35%	99.95%
Debaryomyces hansenii CBS767	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	284592	179	4217	97.81%	77.36%	99.89%
Paracoccidioides brasiliensis Pb18	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Paracoccidioides|species-Paracoccidioides_brasiliensis	502780	174	1368	86.57%	39.62%	99.98%
Coccidioides	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Coccidioides	5500	73	738	85.88%	51.43%	99.75%
Schizophyllum commune H4-8	species	phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum|species-Schizophyllum_commune	578458	141	873	78.33%	28.76%	99.75%
Coccidioides posadasii C735 delta SOWgp	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Coccidioides|species-Coccidioides_posadasii	222929	90	453	74.38%	24.44%	99.95%
