taxa	Abundance
k__Fungi	15515.0
k__Fungi|p__Ascomycota	14009.5
k__Fungi|p__Basidiomycota	1237.5
k__Fungi|p__Microsporidia	55.5
k__Fungi|p__Mucoromycota	212.5
k__Fungi|p__Ascomycota|c__	6.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	435.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	3344.0
k__Fungi|p__Ascomycota|c__Leotiomycetes	14.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	67.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	9362.5
k__Fungi|p__Ascomycota|c__Sordariomycetes	747.0
k__Fungi|p__Ascomycota|c__Xylonomycetes	34.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes	62.5
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes	50.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	372.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	114.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	435.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	60.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	143.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis	55.5
k__Fungi|p__Mucoromycota|c__Mortierellomycetes	41.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes	171.5
k__Fungi|p__Ascomycota|c__|o__	6.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	398.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	36.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	281.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	2435.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	615.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Verrucariales	12.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	14.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	67.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	9362.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	99.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	132.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales	33.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	400.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales	82.5
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales	34.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	59.5
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales	3.0
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales	50.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	372.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales	114.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales	38.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	352.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales	45.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Urocystidales	2.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	58.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales	143.0
