taxa	Abundance
k__Fungi	13103.5
k__Fungi|p__Ascomycota	12184.0
k__Fungi|p__Basidiomycota	858.5
k__Fungi|p__Mucoromycota	61.0
k__Fungi|p__Ascomycota|c__	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	309.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes	2446.0
k__Fungi|p__Ascomycota|c__Leotiomycetes	16.5
k__Fungi|p__Ascomycota|c__Saccharomycetes	8602.5
k__Fungi|p__Ascomycota|c__Sordariomycetes	771.5
k__Fungi|p__Ascomycota|c__Xylonomycetes	33.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes	63.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	289.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes	364.5
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	141.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes	61.0
k__Fungi|p__Ascomycota|c__|o__	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes incertae sedis	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	268.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	38.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	183.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	1810.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	453.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	16.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	8602.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	3.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	430.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	286.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales	52.0
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales	33.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	59.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales	4.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	289.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales	40.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	273.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales	50.5
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales	141.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	61.0
k__Fungi|p__Ascomycota|c__|o__|f__	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Capnodiaceae	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes incertae sedis|f__Pseudoperisporiaceae	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae	48.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	183.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae	37.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales|f__Sympoventuriaceae	38.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Cyphellophoraceae	43.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae	140.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	1706.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae	103.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae	174.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae	230.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	48.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	16.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Ascoideaceae	33.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	4107.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	366.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae	319.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae	356.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae	233.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	3118.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales incertae sedis	33.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycopsidaceae	35.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae	3.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Bionectriaceae	3.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	427.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae	49.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	237.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hypoxylaceae	51.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Xylariaceae	1.0
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales|f__Xylonaceae	33.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae	59.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Rhizopogonaceae	4.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	289.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales|f__Filobasidiaceae	40.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	273.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales|f__Trichosporonaceae	50.5
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales|f__Wallemiaceae	141.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Chaetocladiaceae	1.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Choanephoraceae	8.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae	39.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mycotyphaceae	1.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Rhizopodaceae	12.0
k__Fungi|p__Ascomycota|c__|o__|f__|g__	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Botryosphaeria	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Capnodiaceae|g__Polychaeton	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes incertae sedis|f__Pseudoperisporiaceae|g__Lizonia	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Ascochyta	43.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Macroventuria	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Phoma	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Sclerotiophoma	3.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria	117.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Bipolaris	64.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Exserohilum	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Westerdykella	37.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales|f__Sympoventuriaceae|g__Verruconis	38.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Cyphellophoraceae|g__Cyphellophora	43.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora	86.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Exophiala	31.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Phialophora	23.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	1706.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces	103.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces	100.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Emmonsia	3.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Histoplasma	70.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Arthroderma	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Microsporum	36.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Nannizzia	41.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton	149.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides	36.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Spiromastix	8.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botryotinia	3.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis	13.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Ascoideaceae|g__Ascoidea	33.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	3655.5
