taxa	Abundance
k__Fungi	9438.0
k__Fungi|p__Ascomycota	8441.5
k__Fungi|p__Basidiomycota	838.0
k__Fungi|p__Microsporidia	81.0
k__Fungi|p__Mucoromycota	77.5
k__Fungi|p__Ascomycota|c__	3.5
k__Fungi|p__Ascomycota|c__Dothideomycetes	151.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes	1527.5
k__Fungi|p__Ascomycota|c__Leotiomycetes	10.5
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	63.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	6387.5
k__Fungi|p__Ascomycota|c__Sordariomycetes	287.0
k__Fungi|p__Ascomycota|c__Xylonomycetes	11.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes	24.0
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes	24.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	350.0
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	62.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes	208.5
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	27.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	142.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis	81.0
k__Fungi|p__Mucoromycota|c__Mortierellomycetes	7.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes	70.5
k__Fungi|p__Ascomycota|c__|o__	3.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	142.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	81.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	1159.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	283.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Verrucariales	4.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	10.5
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	63.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	6387.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	33.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	63.0
