taxa	Abundance
k__Fungi	7719.0
k__Fungi|p__Ascomycota	7111.5
k__Fungi|p__Basidiomycota	583.0
k__Fungi|p__Mucoromycota	24.5
k__Fungi|p__Ascomycota|c__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	124.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	998.0
k__Fungi|p__Ascomycota|c__Leotiomycetes	6.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	5691.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	277.5
k__Fungi|p__Ascomycota|c__Xylonomycetes	11.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes	19.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	261.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes	159.5
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	142.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes	24.5
k__Fungi|p__Ascomycota|c__|o__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	115.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	60.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	729.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	208.5
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	6.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	5691.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	179.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	86.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales	12.0
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales	11.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	19.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	261.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales	10.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	129.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales	20.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales	142.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	24.5
k__Fungi|p__Ascomycota|c__|o__|f__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae	14.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiotremataceae	2.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	89.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae	10.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales|f__Sympoventuriaceae	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Cyphellophoraceae	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae	49.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	661.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae	67.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae	63.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae	123.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	21.5
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	6.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Ascoideaceae	15.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	2674.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	182.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae	251.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae	261.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae	199.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2073.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales incertae sedis	19.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycopsidaceae	15.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	179.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae	13.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	73.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hypoxylaceae	11.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Xylariaceae	1.0
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales|f__Xylonaceae	11.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae	19.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	261.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales|f__Filobasidiaceae	10.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	129.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales|f__Trichosporonaceae	20.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales|f__Wallemiaceae	142.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Choanephoraceae	2.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae	16.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Rhizopodaceae	6.0
k__Fungi|p__Ascomycota|c__|o__|f__|g__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Ascochyta	10.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Phoma	2.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Sclerotiophoma	2.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiotremataceae|g__Lophiotrema	2.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria	60.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Bipolaris	29.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Westerdykella	10.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales|f__Sympoventuriaceae|g__Verruconis	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Cyphellophoraceae|g__Cyphellophora	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora	33.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Exophiala	13.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Phialophora	3.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	661.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces	67.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces	28.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Emmonsia	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Histoplasma	34.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Arthroderma	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Microsporum	12.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Nannizzia	13.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton	94.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides	20.5
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botryotinia	2.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis	4.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Ascoideaceae|g__Ascoidea	15.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	2403.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces	56.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Hyphopichia	26.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Lodderomyces	49.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Priceomyces	20.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces	47.0
