taxa	Abundance
k__Fungi	5367.0
k__Fungi|p__Ascomycota	5074.5
k__Fungi|p__Basidiomycota	250.0
k__Fungi|p__Mucoromycota	42.5
k__Fungi|p__Ascomycota|c__Dothideomycetes	82.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	449.5
k__Fungi|p__Ascomycota|c__Leotiomycetes	12.5
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	51.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	4270.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	209.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	130.0
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	17.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	78.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	25.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes	42.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	82.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	19.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	307.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	123.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	12.5
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	51.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	4270.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	8.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	117.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	84.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	130.0
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales	17.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	78.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	25.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	42.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae	11.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	71.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Cyphellophoraceae	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae	8.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	306.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae	1.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae	34.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae	87.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	1.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	12.5
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae	51.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	2040.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	2.0
