taxa	Abundance
k__Fungi	5335.0
k__Fungi|p__Ascomycota	4950.5
k__Fungi|p__Basidiomycota	312.0
k__Fungi|p__Microsporidia	71.5
k__Fungi|p__Mucoromycota	1.0
k__Fungi|p__Ascomycota|c__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	402.0
k__Fungi|p__Ascomycota|c__Pezizomycetes	1.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	15.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	4459.5
k__Fungi|p__Ascomycota|c__Sordariomycetes	58.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	155.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	54.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	103.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis	71.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes	1.0
k__Fungi|p__Ascomycota|c__|o__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	65.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	254.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	83.0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales	1.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	15.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	4459.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	32.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	25.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	155.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	54.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales	103.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis|o__Microsporidia incertae sedis	71.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	1.0
k__Fungi|p__Ascomycota|c__|o__|f__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae	65.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	224.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Thermoascaceae	30.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae	33.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	49.5
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae	1.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae	15.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	2002.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae	25.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae	18.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae	241.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae	109.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2036.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales incertae sedis	25.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae	32.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	25.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	155.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	54.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales|f__Wallemiaceae	103.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis|o__Microsporidia incertae sedis|f__Unikaryonidae	71.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mycotyphaceae	1.0
k__Fungi|p__Ascomycota|c__|o__|f__|g__	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Westerdykella	11.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Cladophialophora	29.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea	19.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Phialophora	16.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	97.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium	126.5
