taxa	Abundance
k__Fungi	3599.5
k__Fungi|p__Ascomycota	3560.5
k__Fungi|p__Basidiomycota	39.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	30.5
k__Fungi|p__Ascomycota|c__Saccharomycetes	3504.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	22.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	34.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	30.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	3504.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	22.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	34.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	4.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	30.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	1555.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	1946.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Bionectriaceae	1.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	21.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	34.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria	4.0
