taxa	Abundance
k__Fungi	609.0
k__Fungi|p__Ascomycota	584.5
k__Fungi|p__Basidiomycota	24.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes	26.5
k__Fungi|p__Ascomycota|c__Saccharomycetes	558.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes	11.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	13.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	26.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	558.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	11.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	13.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	26.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	269.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	287.5
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae	11.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	13.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides	14.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides	12.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	251.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces	18.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces	7.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	278.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora	2.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae|g__Schizophyllum	11.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia	11.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__environmental samples	2.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides|s__Coccidioides immitis	8.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Coccidioides|s__Coccidioides posadasii	6.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides|s__Paracoccidioides brasiliensis	10.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis|g__Paracoccidioides|s__Paracoccidioides lutzii	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida albicans	250.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida parapsilosis	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces hansenii	17.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__[Candida] psychrophila	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia|s__Yarrowia lipolytica	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces|s__Kluyveromyces lactis	7.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces arboricola	1.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces cerevisiae	259.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces cerevisiae x Saccharomyces kudriavzevii	2.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces pastorianus	16.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora|s__Tetrapisispora blattae	2.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae|g__Schizophyllum|s__Schizophyllum commune	11.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia restricta	11.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__environmental samples|s__uncultured Malassezia spp.	2.0
