@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2706	superkingdom	2706	Eukaryota	100.0
4753	phylum	2706|4753	Eukaryota|Ascomycota	80.85824287979281
4970	phylum	2706|4970	Eukaryota|Basidiomycota	18.140042780410543
	phylum	2706|	Eukaryota|Unclassified	1.0017143397966246
4891	class	2706|4753|4891	Eukaryota|Ascomycota|Saccharomycetes	43.76684913071909
4967	class	2706|4753|4967	Eukaryota|Ascomycota|Eurotiomycetes	22.930167691561497
4972	class	2706|4970|4972	Eukaryota|Basidiomycota|Tremellomycetes	9.12224464966917
5044	class	2706|4753|5044	Eukaryota|Ascomycota|Sordariomycetes	7.22557287817325
55193	class	2706|4970|55193	Eukaryota|Basidiomycota|Malasseziomycetes	3.0106635510905115
4754	class	2706|4753|4754	Eukaryota|Ascomycota|Pneumocystidomycetes	3.005252333132927
5014	class	2706|4753|5014	Eukaryota|Ascomycota|Dothideomycetes	2.9188770948167053
148959	class	2706|4970|148959	Eukaryota|Basidiomycota|Wallemiomycetes	2.003488672727676
4996	class	2706|4970|4996	Eukaryota|Basidiomycota|Microbotryomycetes	2.003453853226209
40219	class	2706|4753|40219	Eukaryota|Ascomycota|Xylonomycetes	1.0017234833352968
	class	2706||	Eukaryota|Unclassified|Unclassified	1.0017143397966246
5257	class	2706|4970|5257	Eukaryota|Basidiomycota|Ustilaginomycetes	1.001661508226443
5218	class	2706|4970|5218	Eukaryota|Basidiomycota|Agaricomycetes	0.9985305454705306
5100	class	2706|4753|5100	Eukaryota|Ascomycota|Leotiomycetes	0.009800268054023672
4892	order	2706|4753|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	43.76684913071909
5042	order	2706|4753|4967|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	9.460453057073458
4973	order	2706|4970|4972|4973	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	8.12182119669838
4968	order	2706|4753|4967|4968	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	7.459437662895071
5583	order	2706|4753|4967|5583	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	5.008564750324646
5139	order	2706|4753|5044|5139	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	4.199123819503702
55194	order	2706|4970|55193|55194	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales	3.0106635510905115
	order	2706|4753|4754|	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified	3.005252333132927
148960	order	2706|4970|148959|148960	Eukaryota|Basidiomycota|Wallemiomycetes|Wallemiales	2.003488672727676
5001	order	2706|4970|4996|5001	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales	2.003453853226209
5015	order	2706|4753|5014|5015	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	1.9171541572489075
5046	order	2706|4753|5044|5046	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	1.0240267553269031
5157	order	2706|4753|5044|5157	Eukaryota|Ascomycota|Sordariomycetes|Microascales	1.0017239437280892
40220	order	2706|4753|40219|40220	Eukaryota|Ascomycota|Xylonomycetes|Xylonomycetales	1.0017234833352968
5023	order	2706|4753|5014|5023	Eukaryota|Ascomycota|Dothideomycetes|Venturiales	1.001722937567798
