@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2706	superkingdom	2706	Eukaryota	99.99999999999991
4753	phylum	2706|4753	Eukaryota|Ascomycota	76.21934345763877
4970	phylum	2706|4970	Eukaryota|Basidiomycota	17.740913780850466
	phylum	2706|	Eukaryota|Unclassified	6.039742761510679
4891	class	2706|4753|4891	Eukaryota|Ascomycota|Saccharomycetes	54.72427430820132
4967	class	2706|4753|4967	Eukaryota|Ascomycota|Eurotiomycetes	10.864329780623077
4972	class	2706|4970|4972	Eukaryota|Basidiomycota|Tremellomycetes	6.4601051744727425
	class	2706||	Eukaryota|Unclassified|Unclassified	6.039742761510679
4754	class	2706|4753|4754	Eukaryota|Ascomycota|Pneumocystidomycetes	5.77641612688385
55193	class	2706|4970|55193	Eukaryota|Basidiomycota|Malasseziomycetes	5.5114292303473675
148959	class	2706|4970|148959	Eukaryota|Basidiomycota|Wallemiomycetes	3.0990131858956365
5044	class	2706|4753|5044	Eukaryota|Ascomycota|Sordariomycetes	2.9165603730670897
4996	class	2706|4970|4996	Eukaryota|Basidiomycota|Microbotryomycetes	1.4637132826332921
5014	class	2706|4753|5014	Eukaryota|Ascomycota|Dothideomycetes	1.3149062819963864
5257	class	2706|4970|5257	Eukaryota|Basidiomycota|Ustilaginomycetes	0.8177960679209115
40219	class	2706|4753|40219	Eukaryota|Ascomycota|Xylonomycetes	0.6197928832648004
5218	class	2706|4970|5218	Eukaryota|Basidiomycota|Agaricomycetes	0.3888568395805236
5100	class	2706|4753|5100	Eukaryota|Ascomycota|Leotiomycetes	0.003063703602284189
4892	order	2706|4753|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	54.72427430820132
	order	2706|||	Eukaryota|Unclassified|Unclassified|Unclassified	6.039742761510679
4973	order	2706|4970|4972|4973	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	5.845409426193331
	order	2706|4753|4754|	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified	5.77641612688385
55194	order	2706|4970|55193|55194	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales	5.5114292303473675
5042	order	2706|4753|4967|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	4.086820233253354
4968	order	2706|4753|4967|4968	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	4.041501582081079
148960	order	2706|4970|148959|148960	Eukaryota|Basidiomycota|Wallemiomycetes|Wallemiales	3.0990131858956365
5583	order	2706|4753|4967|5583	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	2.329756306731631
5139	order	2706|4753|5044|5139	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	1.656641222195631
5001	order	2706|4970|4996|5001	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales	1.4637132826332921
5015	order	2706|4753|5014|5015	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.8402634344668105
5267	order	2706|4970|5257|5267	Eukaryota|Basidiomycota|Ustilaginomycetes|Ustilaginales	0.8177960679209115
40220	order	2706|4753|40219|40220	Eukaryota|Ascomycota|Xylonomycetes|Xylonomycetales	0.6197928832648004
5417	order	2706|4970|4972|5417	Eukaryota|Basidiomycota|Tremellomycetes|Trichosporonales	0.6146957482794106
5023	order	2706|4753|5014|5023	Eukaryota|Ascomycota|Dothideomycetes|Venturiales	0.47464284752957575
5455	order	2706|4753|5044|5455	Eukaryota|Ascomycota|Sordariomycetes|Glomerellales	0.458952597192843
5046	order	2706|4753|5044|5046	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.45369754266052387
146291	order	2706|4753|4967|146291	Eukaryota|Ascomycota|Eurotiomycetes|Verrucariales	0.406251658557015
5320	order	2706|4970|5218|5320	Eukaryota|Basidiomycota|Agaricomycetes|Agaricales	0.3888568395805236
5157	order	2706|4753|5044|5157	Eukaryota|Ascomycota|Sordariomycetes|Microascales	0.347269011018092
5178	order	2706|4753|5100|5178	Eukaryota|Ascomycota|Leotiomycetes|Helotiales	0.003063703602284189
4893	family	2706|4753|4891|4892|4893	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	21.945339889828883
4920	family	2706|4753|4891|4892|4920	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae	17.24833737620735
6033	family	2706||||6033	Eukaryota|Unclassified|Unclassified|Unclassified|Unikaryonidae	6.039742761510679
4909	family	2706|4753|4891|4892|4909	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Pichiaceae	5.936190936942216
4975	family	2706|4970|4972|4973|4975	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae	5.845409426193331
38082	family	2706|4753|4754||38082	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified|Pneumocystidaceae	5.77641612688385
76773	family	2706|4970|55193|55194|76773	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae	5.5114292303473675
4903	family	2706|4753|4891|4892|4903	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Phaffomycetaceae	3.7440399142691283
5052	family	2706|4753|4967|5042|5052	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae	3.573157124473986
	family	2706|4970|148959|148960|	Eukaryota|Basidiomycota|Wallemiomycetes|Wallemiales|Unclassified	3.0990131858956365
5550	family	2706|4753|4967|4968|5550	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae	2.6451034428119122
27319	family	2706|4753|4891|4892|27319	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Metschnikowiaceae	2.184769430744844
5584	family	2706|4753|4967|5583|5584	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae	1.8056531310697996
4951	family	2706|4753|4891|4892|4951	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Dipodascaceae	1.477016515937263
5002	family	2706|4970|4996|5001|5002	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae	1.4637132826332921
	family	2706|4753|4891|4892|	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Unclassified	1.3267354305614953
5140	family	2706|4753|5044|5139|5140	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae	1.2242019040282315
