@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2706	superkingdom	2706	Eukaryota	100.00000000000006
4753	phylum	2706|4753	Eukaryota|Ascomycota	85.38997368167409
4970	phylum	2706|4970	Eukaryota|Basidiomycota	14.610026318325934
4891	class	2706|4753|4891	Eukaryota|Ascomycota|Saccharomycetes	61.47686716654058
4754	class	2706|4753|4754	Eukaryota|Ascomycota|Pneumocystidomycetes	12.709111042662268
4972	class	2706|4970|4972	Eukaryota|Basidiomycota|Tremellomycetes	9.4502370080849
4967	class	2706|4753|4967	Eukaryota|Ascomycota|Eurotiomycetes	8.679223609940438
5257	class	2706|4970|5257	Eukaryota|Basidiomycota|Ustilaginomycetes	2.7299718498358754
4996	class	2706|4970|4996	Eukaryota|Basidiomycota|Microbotryomycetes	2.3961039051982698
5044	class	2706|4753|5044	Eukaryota|Ascomycota|Sordariomycetes	1.465408066213132
5014	class	2706|4753|5014	Eukaryota|Ascomycota|Dothideomycetes	1.0505524433411457
55193	class	2706|4970|55193	Eukaryota|Basidiomycota|Malasseziomycetes	0.033713555206890004
5100	class	2706|4753|5100	Eukaryota|Ascomycota|Leotiomycetes	0.008811352976495369
4892	order	2706|4753|4891|4892	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	61.47686716654058
	order	2706|4753|4754|	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified	12.709111042662268
4973	order	2706|4970|4972|4973	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	9.4502370080849
5042	order	2706|4753|4967|5042	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	4.485183459831702
5267	order	2706|4970|5257|5267	Eukaryota|Basidiomycota|Ustilaginomycetes|Ustilaginales	2.7299718498358754
4968	order	2706|4753|4967|4968	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	2.4445806947245012
5001	order	2706|4970|4996|5001	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales	2.3961039051982698
5583	order	2706|4753|4967|5583	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales	1.7494594553842342
5139	order	2706|4753|5044|5139	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	1.45009354099934
5015	order	2706|4753|5014|5015	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	1.0505524433411457
55194	order	2706|4970|55193|55194	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales	0.033713555206890004
5046	order	2706|4753|5044|5046	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.015314525213791967
5178	order	2706|4753|5100|5178	Eukaryota|Ascomycota|Leotiomycetes|Helotiales	0.008811352976495369
4893	family	2706|4753|4891|4892|4893	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	39.52700713166989
4920	family	2706|4753|4891|4892|4920	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae	15.623666903092179
38082	family	2706|4753|4754||38082	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified|Pneumocystidaceae	12.709111042662268
4975	family	2706|4970|4972|4973|4975	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae	9.4502370080849
5052	family	2706|4753|4967|5042|5052	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae	4.485183459831702
4903	family	2706|4753|4891|4892|4903	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Phaffomycetaceae	3.1666089165163616
5488	family	2706|4753|4891|4892|5488	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Trichomonascaceae	3.1595842152621665
5268	family	2706|4970|5257|5267|5268	Eukaryota|Basidiomycota|Ustilaginomycetes|Ustilaginales|Ustilaginaceae	2.7299718498358754
5002	family	2706|4970|4996|5001|5002	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae	2.3961039051982698
5550	family	2706|4753|4967|4968|5550	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae	2.2628559106674246
219597	family	2706|4753|4967|5583|219597	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales|Cyphellophoraceae	1.7494594553842342
5149	family	2706|4753|5044|5139|5149	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae	1.443210741002386
5016	family	2706|4753|5014|5015|5016	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae	1.0505524433411457
5036	family	2706|4753|4967|4968|5036	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Ajellomycetaceae	0.1817247840570768
76773	family	2706|4970|55193|55194|76773	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae	0.033713555206890004
5127	family	2706|4753|5044|5046|5127	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae	0.013602905766389393
5179	family	2706|4753|5100|5178|5179	Eukaryota|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae	0.008811352976495369
5140	family	2706|4753|5044|5139|5140	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae	0.006882799996954127
5047	family	2706|4753|5044|5046|5047	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae	0.0017116194474025737
