@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
	superkingdom		Eukaryota	100.00000000000001
	phylum	|	Eukaryota|Ascomycota	68.53606119504765
	phylum	|	Eukaryota|Basidiomycota	21.499283193356717
	phylum	|	Eukaryota|Microsporidia	9.964655611595646
	class	||	Eukaryota|Ascomycota|Saccharomycetes	39.90109939488007
	class	||	Eukaryota|Ascomycota|Pichiomycetes	21.26669886177076
	class	||	Eukaryota|Basidiomycota|Tremellomycetes	11.91598896256577
	class	||	Eukaryota|Microsporidia|nan	9.964655611595646
	class	||	Eukaryota|Basidiomycota|Malasseziomycetes	9.58329423079095
	class	||	Eukaryota|Ascomycota|Eurotiomycetes	3.8795134225210757
	class	||	Eukaryota|Ascomycota|Sordariomycetes	1.750693364273902
	class	||	Eukaryota|Ascomycota|Dipodascomycetes	1.1358843798512923
	class	||	Eukaryota|Ascomycota|Dothideomycetes	0.5978465367475362
	class	||	Eukaryota|Ascomycota|Leotiomycetes	0.004325235003001643
	order	|||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	38.47088723002997
	order	|||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	11.91598896256577
	order	|||	Eukaryota|Ascomycota|Pichiomycetes|Serinales	11.770615459123057
	order	|||	Eukaryota|Microsporidia|nan|nan	9.964655611595646
	order	|||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales	9.58329423079095
	order	|||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales	9.4960834026477
	order	|||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	3.1377221508292306
	order	|||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycodales	1.4302121648501023
	order	|||	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	1.3166210578306248
	order	|||	Eukaryota|Ascomycota|Dipodascomycetes|Dipodascales	1.1358843798512923
	order	|||	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	0.7417912716918448
	order	|||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.5978465367475362
	order	|||	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.4340723064432771
	order	|||	Eukaryota|Ascomycota|Leotiomycetes|Helotiales	0.004325235003001643
	family	||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	38.47088723002997
	family	||||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae	11.91598896256577
	family	||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae	11.770615459123057
	family	||||	Eukaryota|Microsporidia|nan|nan|Unikaryonidae	9.964655611595646
	family	||||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae	9.58329423079095
	family	||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae	9.4960834026477
	family	||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae	2.2629247486160637
	family	||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycodales|Saccharomycodaceae	1.4302121648501023
	family	||||	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae	1.3166210578306248
	family	||||	Eukaryota|Ascomycota|Dipodascomycetes|Dipodascales|nan	1.1358843798512923
	family	||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae	0.874797402213167
	family	||||	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae	0.7417912716918448
	family	||||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Didymellaceae	0.5957112508742232
	family	||||	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae	0.4340723064432771
	family	||||	Eukaryota|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae	0.004325235003001643
	family	||||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae	0.002135285873312966
	genus	|||||	Eukaryota|Microsporidia|nan|nan|Unikaryonidae|Encephalitozoon	9.964655611595646
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces	9.771846850640552
	genus	|||||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae|Malassezia	9.58329423079095
	genus	|||||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae|Kwoniella	6.516796742156469
	genus	|||||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae|Cryptococcus	5.399192220409301
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Candida	4.734950185680111
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Kluyveromyces	4.345078942764696
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Ogataea	2.8825447560051294
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Eremothecium	2.7202144847952625
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Torulaspora	2.6985663118788845
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Komagataella	2.678857280354467
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Zygosaccharomyces	2.4694895982807417
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Lachancea	2.3860136148727333
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Zygotorulaspora	2.3000517483487157
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Yamadazyma	2.2864419377674765
	genus	|||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Aspergillus	2.26163609212355
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Huiozyma	2.2292687651324696
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Pichia	2.1645896419890156
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Naumovozyma	2.148624184173309
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Kazachstania	2.1359355217051084
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Debaryomyces	2.011310806770119
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Tetrapisispora	1.9176125442718928
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Nakaseomyces	1.859835301209219
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Brettanomyces	1.7700917242990883
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Scheffersomyces	1.6051300031582232
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Henningerozyma	1.4883493619563901
