@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
	superkingdom		Eukaryota	99.99999999999997
	phylum	|	Eukaryota|Ascomycota	77.12641961030387
	phylum	|	Eukaryota|Basidiomycota	22.87358038969611
	class	||	Eukaryota|Ascomycota|Saccharomycetes	41.54374527568527
	class	||	Eukaryota|Ascomycota|Pichiomycetes	25.215321181456122
	class	||	Eukaryota|Basidiomycota|Tremellomycetes	13.032565970318577
	class	||	Eukaryota|Basidiomycota|Malasseziomycetes	9.84101441937753
	class	||	Eukaryota|Ascomycota|Eurotiomycetes	4.735046659154455
	class	||	Eukaryota|Ascomycota|Sordariomycetes	2.9231529934583262
	class	||	Eukaryota|Ascomycota|Dipodascomycetes	1.77177282162504
	class	||	Eukaryota|Ascomycota|Dothideomycetes	0.9307440800102083
	class	||	Eukaryota|Ascomycota|Leotiomycetes	0.006636598914473785
	order	|||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales	39.31173508862622
	order	|||	Eukaryota|Ascomycota|Pichiomycetes|Serinales	14.768198048539539
	order	|||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales	13.032565970318577
	order	|||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales	10.44712313291658
	order	|||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales	9.84101441937753
	order	|||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales	4.7332106517414605
	order	|||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycodales	2.2320101870590436
	order	|||	Eukaryota|Ascomycota|Sordariomycetes|Sordariales	1.938822277850508
	order	|||	Eukaryota|Ascomycota|Dipodascomycetes|Dipodascales	1.77177282162504
	order	|||	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales	0.9843307156078182
	order	|||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales	0.9307440800102083
	order	|||	Eukaryota|Ascomycota|Leotiomycetes|Helotiales	0.006636598914473785
	order	|||	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales	0.001836007412993976
	family	||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae	39.31173508862622
	family	||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae	14.768198048539539
	family	||||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae	13.032565970318577
	family	||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae	10.44712313291658
	family	||||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae	9.84101441937753
	family	||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae	3.3677750201099093
	family	||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycodales|Saccharomycodaceae	2.2320101870590436
	family	||||	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae	1.938822277850508
	family	||||	Eukaryota|Ascomycota|Dipodascomycetes|Dipodascales|nan	1.77177282162504
	family	||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae	1.3654356316315517
	family	||||	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae	0.9843307156078182
	family	||||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Didymellaceae	0.9293922590151316
	family	||||	Eukaryota|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae	0.006636598914473785
	family	||||	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae	0.001836007412993976
	family	||||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae	0.0013518209950766512
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces	12.14775219109638
	genus	|||||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae|Malassezia	9.84101441937753
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Candida	7.376408057298535
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Kluyveromyces	6.778034611269506
	genus	|||||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae|Kwoniella	6.606728284182509
	genus	|||||	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae|Cryptococcus	6.425837686136068
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Torulaspora	4.208379301995142
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Komagataella	4.173042878434638
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Eremothecium	3.8875782390303546
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Zygotorulaspora	3.5899513642235457
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Pichia	3.3751264018493914
	genus	|||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Aspergillus	3.3677750201099093
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Naumovozyma	3.355639441145114
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Debaryomyces	3.1286793875601555
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Tetrapisispora	2.9960826898715065
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Brettanomyces	2.7594581913123504
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Scheffersomyces	2.501179583107013
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Henningerozyma	2.3350903216801506
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycodales|Saccharomycodaceae|Saccharomycodes	2.2320101870590436
	genus	|||||	Eukaryota|Ascomycota|Dipodascomycetes|Dipodascales|nan|Yarrowia	1.77177282162504
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Lodderomyces	1.7619310205738334
	genus	|||||	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae|Talaromyces	1.3654356316315517
	genus	|||||	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium	0.9843307156078182
	genus	|||||	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae|Neurospora	0.9777027319101955
	genus	|||||	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae|Sordaria	0.9611195459403126
	genus	|||||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Didymellaceae|Ascochyta	0.9293922590151316
	genus	|||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Ogataea	0.13949566132020266
	genus	|||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Nakaseomyces	0.013226928314525202
	genus	|||||	Eukaryota|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae|Botrytis	0.006636598914473785
	genus	|||||	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae|Coccidioides	0.001836007412993976
	genus	|||||	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Pyrenophora	0.0013518209950766512
	species	||||||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae|Malassezia|Malassezia restricta	5.292594224849866
	species	||||||	Eukaryota|Basidiomycota|Malasseziomycetes|Malasseziales|Malasseziaceae|Malassezia|Malassezia japonica	4.5484201945276626
	species	||||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Torulaspora|Torulaspora delbrueckii	4.208379301995142
	species	||||||	Eukaryota|Ascomycota|Pichiomycetes|Pichiales|Pichiaceae|Komagataella|Komagataella phaffii	4.173042878434638
	species	||||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Eremothecium|Eremothecium cymbalariae	3.8875782390303546
	species	||||||	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Zygotorulaspora|Zygotorulaspora mrakii	3.5899513642235457
