Query,Taxid,Tax name,Authority,Rank,Basionym,Basionym authority,Curator common name,Has type material,Group name,Superkingdom name,Superkingdom taxid,Kingdom name,Kingdom taxid,Phylum name,Phylum taxid,Class name,Class taxid,Order name,Order taxid,Family name,Family taxid,Genus name,Genus taxid,Species name,Species taxid
101098,101098,Gamsiella multidivaricata,"(R.K. Benj.) Benny & M. Blackw., 2004",SPECIES,Mortierella multidivaricata,"R.K. Benj., 1978",,yes,mucoromycotan fungi,Eukaryota,2759,Fungi,4751,Mucoromycota,1913637,Mortierellomycetes,2212732.0,Mortierellales,214503.0,Mortierellaceae,4854.0,Gamsiella,2779868.0,Gamsiella multidivaricata,101098.0
101107,101107,Halteromyces radiatus,"Shipton & Schipper, 1975",SPECIES,,,,yes,mucoromycotan fungi,Eukaryota,2759,Fungi,4751,Mucoromycota,1913637,Mucoromycetes,2212703.0,Mucorales,4827.0,Cunninghamellaceae,4851.0,Halteromyces,101106.0,Halteromyces radiatus,101107.0
1051613,1051613,Verticillium alfalfae,"Inderb., H.W. Platt, Bostock, R.M. Davis & Subbarao, 2011",SPECIES,,,,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Sordariomycetes,147550.0,Glomerellales,1028384.0,Plectosphaerellaceae,1033978.0,Verticillium,1036719.0,Verticillium alfalfae,1051613.0
1093897,1093897,Phialemonium atrogriseum,"(Panas.) Dania GarciÌa, Perdomo, GeneÌ, Cano & Guarro, 2013",SPECIES,Phaeoscopulariopsis atrogrisea,"Panas., 1964",,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Sordariomycetes,147550.0,Cephalothecales,3036495.0,Cephalothecaceae,95343.0,Phialemonium,83822.0,Phialemonium atrogriseum,1093897.0
1093900,1093900,Thyridium curvatum,"(W. Gams & W.B. Cooke) R. Sugita & Kaz. Tanaka, 2022",SPECIES,Phialemoniopsis curvata,"(W. Gams & W. B. Cooke) H. Perdomo, D. Garca, Gen, Cano & Guarro 2013",,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Sordariomycetes,147550.0,,,Thyridiaceae,265081.0,Thyridium,265082.0,Thyridium curvatum,1093900.0
1108849,1108849,Penicillium rubens,"Biourge, 1923",SPECIES,,,,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Eurotiomycetes,147545.0,Eurotiales,5042.0,Aspergillaceae,1131492.0,Penicillium,5073.0,Penicillium rubens,1108849.0
114497,114497,Cordyceps fumosorosea,"(Wize) Kepler, B. Shrestha & Spatafora, 2017",SPECIES,Isaria fumosorosea,"Wize, 1904",,no,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Sordariomycetes,147550.0,Hypocreales,5125.0,Cordycipitaceae,474943.0,Cordyceps,45234.0,Cordyceps fumosorosea,114497.0
1160497,1160497,Aspergillus glaucus CBS 516.65,,STRAIN,,,,no,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Eurotiomycetes,147545.0,Eurotiales,5042.0,Aspergillaceae,1131492.0,Aspergillus,5052.0,Aspergillus glaucus,41413.0
1170767,1170767,Chaetomium strumarium,"(J.N. Rai, J.P. Tewari & Mukerji) P.F. Cannon 1986",SPECIES,Achaetomium strumarium,"J.N. Rai, J.P. Tewari & Mukerji, 1964",,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Sordariomycetes,147550.0,Sordariales,5139.0,Chaetomiaceae,35718.0,Chaetomium,5149.0,Chaetomium strumarium,1170767.0
1187904,1187904,Alternaria burnsii,"Uppal, Patel & Kamat, 1938",SPECIES,,,,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Dothideomycetes,147541.0,Pleosporales,92860.0,Pleosporaceae,28556.0,Alternaria,5598.0,Alternaria burnsii,1187904.0
1187938,1187938,Alternaria postmessia,"E.G. Simmons, 2007",SPECIES,,,,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Dothideomycetes,147541.0,Pleosporales,92860.0,Pleosporaceae,28556.0,Alternaria,5598.0,Alternaria postmessia,1187938.0
1187941,1187941,Alternaria rosae,"E.G. Simmons & C.F. Hill, 2007",SPECIES,,,,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Dothideomycetes,147541.0,Pleosporales,92860.0,Pleosporaceae,28556.0,Alternaria,5598.0,Alternaria rosae,1187941.0
121627,121627,Talaromyces rugulosus,"(Thom) Samson, Yilmaz, Frisvad & Seifert 2011",SPECIES,,,,yes,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Eurotiomycetes,147545.0,Eurotiales,5042.0,Trichocomaceae,28568.0,Talaromyces,5094.0,Talaromyces rugulosus,121627.0
121759,121759,Paracoccidioides brasiliensis,,SPECIES,Zymonema brasiliensis,"Splend., 1912",,no,ascomycete fungi,Eukaryota,2759,Fungi,4751,Ascomycota,4890,Eurotiomycetes,147545.0,Onygenales,33183.0,,,Paracoccidioides,38946.0,Paracoccidioides brasiliensis,121759.0
