	filename	accession	label	taxonomy	DetectedCoreGenes	PercCoreGenes	GC	NumContigs	GenomeLength
0	GCF_000146045.2.fna	GCF_000146045.2	Saccharomyces cerevisiae S288C	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae	58.0	95.08196721311475	38.5	16.0	12071326
1	GCF_000006445.2.fna	GCF_000006445.2	Debaryomyces hansenii CBS767	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces hansenii	58.0	95.08196721311475	36.5	14.0	12152486
2	GCF_003290485.1.fna	GCF_003290485.1	Malassezia restricta	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta	60.0	98.36065573770492	56.0	9.0	7330907
3	GCF_000182965.3.fna	GCF_000182965.3	Candida albicans SC5314	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans	55.0	90.1639344262295	33.5	88.0	14282666
4	GCF_000002515.2.fna	GCF_000002515.2	Kluyveromyces lactis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces lactis	59.0	96.72131147540983	39.0	6.0	10689156
5	GCF_000349005.2.fna	GCF_000349005.2	Pneumocystis murina B123	Fungi;Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis murina	36.0	59.01639344262295	27.0	20.0	7501343
6	GCF_037950935.1.fna	GCF_037950935.1	Myxozyma melibiosi	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Myxozyma;Myxozyma melibiosi	55.0	90.1639344262295	51.5	24.0	15330035
7	GCF_000187245.1.fna	GCF_000187245.1	Ogataea parapolymorpha DL-1	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea;Ogataea parapolymorpha	55.0	90.1639344262295	48.0	10.0	8874589
8	GCF_001642475.1.fna	GCF_001642475.1	Fonsecaea monophora	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Fonsecaea;Fonsecaea monophora	60.0	98.36065573770492	52.0	324.0	35229797
9	GCF_009556855.1.fna	GCF_009556855.1	Talaromyces marneffei	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces marneffei	56.0	91.80327868852459	47.0	8.0	28198338
10	GCF_000293215.1.fna	GCF_000293215.1	Trichosporon asahii var. asahii CBS 2479	Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon asahii	61.0	100.0	59.5	341.0	24507743
11	GCF_024610255.1.fna	GCF_024610255.1	Candida jiufengensis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida jiufengensis	56.0	91.80327868852459	27.0	24.0	13666317
12	GCF_000149615.1.fna	GCF_000149615.1	Aspergillus terreus NIH2624	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus terreus	60.0	98.36065573770492	53.0	267.0	29331195
13	GCF_000348985.1.fna	GCF_000348985.1	Kazachstania naganishii CBS 8797	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania naganishii	55.0	90.1639344262295	46.0	95.0	10845821
14	GCF_033458365.1.fna	GCF_033458365.1	Neurospora hispaniola	Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;Neurospora hispaniola	56.0	91.80327868852459	48.0	23.0	40807401
15	GCF_001720205.1.fna	GCF_001720205.1	Cryptococcus amylolentus CBS 6039	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus amylolentus	61.0	100.0	53.5	18.0	20254996
16	GCF_903064755.1.fna	GCF_903064755.1	Kazachstania barnettii	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania barnettii	55.0	90.1639344262295	33.5	71.0	12616033
17	GCF_000150975.2.fna	GCF_000150975.2	Nannizzia gypsea CBS 118893	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Nannizzia;Nannizzia gypsea	59.0	96.72131147540983	48.5	317.0	23249403
18	GCF_001661415.1.fna	GCF_001661415.1	Suhomyces tanzawaensis NRRL Y-17324	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Suhomyces;Suhomyces tanzawaensis	55.0	90.1639344262295	45.5	249.0	13136204
19	GCF_024610245.1.fna	GCF_024610245.1	Candida pseudojiufengensis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida pseudojiufengensis	55.0	90.1639344262295	28.0	61.0	13993769
20	GCF_000237345.1.fna	GCF_000237345.1	Naumovozyma castellii CBS 4309	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Naumovozyma;Naumovozyma castellii	55.0	90.1639344262295	37.0	17.0	11219539
21	GCF_000151425.1.fna	GCF_000151425.1	Trichophyton rubrum CBS 118892	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Trichophyton;Trichophyton rubrum	59.0	96.72131147540983	48.5	622.0	22502330
22	GCF_016861735.1.fna	GCF_016861735.1	Aspergillus chevalieri	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus chevalieri	56.0	91.80327868852459	49.5	8.0	29697343
23	GCF_036884685.1.fna	GCF_036884685.1	Scheffersomyces xylosifermentans	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces xylosifermentans	55.0	90.1639344262295	40.0	11.0	17250428
24	GCF_000181695.2.fna	GCF_000181695.2	Malassezia globosa CBS 7966	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa	55.0	90.1639344262295	52.0	62.0	8954998
25	GCF_000280675.1.fna	GCF_000280675.1	Beauveria bassiana ARSEF 2860	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria bassiana	57.0	93.44262295081968	51.5	1226.0	33693936
26	GCF_010724455.1.fna	GCF_010724455.1	Aspergillus lentulus	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus lentulus	60.0	98.36065573770492	50.0	799.0	30229310
27	GCF_001664035.1.fna	GCF_001664035.1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Metschnikowia bicuspidata	55.0	90.1639344262295	48.0	582.0	16055203
28	GCF_036884675.1.fna	GCF_036884675.1	Scheffersomyces coipomensis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces coipomensis	56.0	91.80327868852459	31.5	23.0	14757374
29	GCF_000003835.1.fna	GCF_000003835.1	Clavispora lusitaniae ATCC 42720	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;Clavispora lusitaniae	57.0	93.44262295081968	44.5	88.0	12114892
30	GCF_000182805.3.fna	GCF_000182805.3	Sordaria macrospora k-hell	Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Sordaria;Sordaria macrospora	60.0	98.36065573770492	52.0	2091.0	38151803
31	GCF_036417295.1.fna	GCF_036417295.1	Cryptococcus decagattii	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus decagattii	56.0	91.80327868852459	48.0	14.0	17768546
32	GCF_000313485.1.fna	GCF_000313485.1	Wickerhamomyces ciferrii	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;Wickerhamomyces ciferrii	54.0	88.52459016393442	30.5	364.0	15901152
33	GCF_010094085.1.fna	GCF_010094085.1	Westerdykella ornata	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Westerdykella;Westerdykella ornata	56.0	91.80327868852459	53.0	208.0	26979746
34	GCF_000149645.3.fna	GCF_000149645.3	Aspergillus fischeri NRRL 181	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus fischeri	59.0	96.72131147540983	49.5	252.0	31377515
35	GCF_000143185.2.fna	GCF_000143185.2	Schizophyllum commune H4-8	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum;Schizophyllum commune	55.0	90.1639344262295	57.5	72.0	38670379
36	GCF_000182765.1.fna	GCF_000182765.1	Candida parapsilosis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis	61.0	100.0	38.5	8.0	12998393
37	GCF_000209165.1.fna	GCF_000209165.1	Scheffersomyces stipitis CBS 6054	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces stipitis	55.0	90.1639344262295	41.0	9.0	15441179
38	GCF_000512585.1.fna	GCF_000512585.1	Kwoniella bestiolae CBS 10118	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella bestiolae	54.0	88.52459016393442	47.5	42.0	24360772
39	GCF_003144295.1.fna	GCF_003144295.1	Acaromyces ingoldii	Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Cryptobasidiaceae;Acaromyces;Acaromyces ingoldii	54.0	88.52459016393442	57.5	69.0	19330111
40	GCF_001619985.1.fna	GCF_001619985.1	Xylona heveae TC161	Fungi;Ascomycota;Xylonomycetes;Xylonales;Xylonaceae;Xylona;Xylona heveae	55.0	90.1639344262295	48.0	125.0	24337763
41	GCF_000026945.1.fna	GCF_000026945.1	Candida dubliniensis CD36	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida dubliniensis	55.0	90.1639344262295	33.0	8.0	14618422
42	GCF_001329695.1.fna	GCF_001329695.1	Rhodotorula graminis WP1	Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula graminis	53.0	86.88524590163934	68.0	322.0	21013998
43	GCF_036426115.1.fna	GCF_036426115.1	Kwoniella botswanensis	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella botswanensis	55.0	90.1639344262295	45.0	3.0	23007246
44	GCF_020623625.1.fna	GCF_020623625.1	Saccharomycodes ludwigii	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Saccharomycodes;Saccharomycodes ludwigii	54.0	88.52459016393442	31.0	9.0	12500424
45	GCF_000365145.1.fna	GCF_000365145.1	Cyphellophora europaea CBS 101466	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Cyphellophoraceae;Cyphellophora;Cyphellophora europaea	55.0	90.1639344262295	54.0	106.0	28781303
46	GCF_000002855.4.fna	GCF_000002855.4	Aspergillus niger	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus niger	55.0	90.1639344262295	50.5	469.0	33975768
47	GCF_008704595.1.fna	GCF_008704595.1	Diutina rugosa	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Diutina;Diutina rugosa	60.0	98.36065573770492	49.5	328.0	13445959
48	GCF_000213175.1.fna	GCF_000213175.1	Neurospora tetrasperma FGSC 2508	Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;Neurospora tetrasperma	56.0	91.80327868852459	49.5	551.0	39146333
49	GCF_028827035.1.fna	GCF_028827035.1	Penicillium chrysogenum	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium chrysogenum	59.0	96.72131147540983	49.0	4.0	32379777
50	GCF_024043175.1.fna	GCF_024043175.1	Alternaria infectoria	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria infectoria	58.0	95.08196721311475	50.0	252.0	36515125
51	GCF_029542925.1.fna	GCF_029542925.1	Malassezia vespertilionis	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia vespertilionis	54.0	88.52459016393442	56.5	9.0	7595203
52	GCF_000184455.2.fna	GCF_000184455.2	Aspergillus oryzae RIB40	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus oryzae	60.0	98.36065573770492	48.5	28.0	37882812
53	GCF_000150115.1.fna	GCF_000150115.1	Histoplasma capsulatum G186AR	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Histoplasma;Histoplasma capsulatum	59.0	96.72131147540983	44.5	355.0	30438878
54	GCF_020536065.1.fna	GCF_020536065.1	Ogataea philodendri	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea;Ogataea philodendri	58.0	95.08196721311475	47.5	541.0	9002259
55	GCF_001477545.1.fna	GCF_001477545.1	Pneumocystis carinii B80	Fungi;Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis carinii	36.0	59.01639344262295	28.0	62.0	7661456
56	GCF_019049425.1.fna	GCF_019049425.1	Scheffersomyces spartinae	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces spartinae	61.0	100.0	38.5	103.0	12132557
57	GCF_000263375.1.fna	GCF_000263375.1	Wallemia mellicola CBS 633.66	Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;Wallemia mellicola	55.0	90.1639344262295	40.0	106.0	9815586
