Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,100000,1.24261410883941,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,100000,1.2343153491392624,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,100000,2.0461315359750163,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,100000,1.050224096817779,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,100000,1.4032913356302406,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
54550,Myxozyma melibiosi,GCF_037950935.1,15330035,100000,0.9784713472604596,51.5,24.0,Lipomycetaceae,Myxozyma,Myxozyma melibiosi,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
82508,Trichosporon asahii var. asahii CBS 2479,GCF_000293215.1,24507743,100000,0.6120514647146414,59.5,341.0,Trichosporonaceae,Trichosporon,Trichosporon asahii,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
497108,Candida jiufengensis,GCF_024610255.1,13666317,100000,1.0975890578273575,27.0,24.0,Debaryomycetaceae,Candida,Candida jiufengensis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
104669,Cryptococcus amylolentus CBS 6039,GCF_001720205.1,20254996,100000,0.7405580331884538,53.5,18.0,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46583,Suhomyces tanzawaensis NRRL Y-17324,GCF_001661415.1,13136204,100000,1.1418823885499951,45.5,249.0,Debaryomycetaceae,Suhomyces,Suhomyces tanzawaensis,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
