Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,160951.0,2,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,162033.0,2,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,97745.0,2,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,190436.0,2,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,142522.0,2,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
263815,Pneumocystis murina B123,GCF_000349005.2,7501343,100018.0,2,27.0,20.0,Pneumocystaceae,Pneumocystis,Pneumocystis murina,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
1005962,Ogataea parapolymorpha DL-1,GCF_000187245.1,8874589,118328.0,2,48.0,10.0,Pichiaceae,Ogataea,Ogataea parapolymorpha,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
254056,Fonsecaea monophora,GCF_001642475.1,35229797,469731.0,2,52.0,324.0,Herpotrichiellaceae,Fonsecaea,Fonsecaea monophora,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
37727,Talaromyces marneffei,GCF_009556855.1,28198338,375978.0,2,47.0,8.0,Trichocomaceae,Talaromyces,Talaromyces marneffei,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
82508,Trichosporon asahii var. asahii CBS 2479,GCF_000293215.1,24507743,326770.0,2,59.5,341.0,Trichosporonaceae,Trichosporon,Trichosporon asahii,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
497108,Candida jiufengensis,GCF_024610255.1,13666317,182218.0,2,27.0,24.0,Debaryomycetaceae,Candida,Candida jiufengensis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
588726,Kazachstania naganishii CBS 8797,GCF_000348985.1,10845821,144611.0,2,46.0,95.0,Saccharomycetaceae,Kazachstania,Kazachstania naganishii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
61262,Kazachstania barnettii,GCF_903064755.1,12616033,168214.0,2,33.5,71.0,Saccharomycetaceae,Kazachstania,Kazachstania barnettii,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
46583,Suhomyces tanzawaensis NRRL Y-17324,GCF_001661415.1,13136204,175149.0,2,45.5,249.0,Debaryomycetaceae,Suhomyces,Suhomyces tanzawaensis,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
497109,Candida pseudojiufengensis,GCF_024610245.1,13993769,186584.0,2,28.0,61.0,Debaryomycetaceae,Candida,Candida pseudojiufengensis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
