Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,160951.0,2,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,162033.0,2,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,97745.0,2,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,190436.0,2,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,142522.0,2,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
263815,Pneumocystis murina B123,GCF_000349005.2,7501343,100018.0,2,27.0,20.0,Pneumocystaceae,Pneumocystis,Pneumocystis murina,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
33178,Aspergillus terreus NIH2624,GCF_000149615.1,29331195,391083.0,2,53.0,267.0,Aspergillaceae,Aspergillus,Aspergillus terreus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
588726,Kazachstania naganishii CBS 8797,GCF_000348985.1,10845821,144611.0,2,46.0,95.0,Saccharomycetaceae,Kazachstania,Kazachstania naganishii,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1041607,Wickerhamomyces ciferrii,GCF_000313485.1,15901152,212015.0,2,30.5,364.0,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces ciferrii,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5480,Candida parapsilosis,GCF_000182765.1,12998393,173312.0,2,38.5,8.0,Debaryomycetaceae,Candida,Candida parapsilosis,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
324769,Kwoniella bestiolae CBS 10118,GCF_000512585.1,24360772,324810.0,2,47.5,42.0,Cryptococcaceae,Kwoniella,Kwoniella bestiolae,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
29898,Rhodotorula graminis WP1,GCF_001329695.1,21013998,280187.0,2,68.0,322.0,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
1268659,Kwoniella botswanensis,GCF_036426115.1,23007246,306763.0,2,45.0,3.0,Cryptococcaceae,Kwoniella,Kwoniella botswanensis,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
36035,Saccharomycodes ludwigii,GCF_020623625.1,12500424,166672.0,2,31.0,9.0,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
293227,Cyphellophora europaea CBS 101466,GCF_000365145.1,28781303,383751.0,2,54.0,106.0,Cyphellophoraceae,Cyphellophora,Cyphellophora europaea,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5481,Diutina rugosa,GCF_008704595.1,13445959,179279.0,2,49.5,328.0,Debaryomycetaceae,Diutina,Diutina rugosa,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
5076,Penicillium chrysogenum,GCF_028827035.1,32379777,431730.0,2,49.0,4.0,Aspergillaceae,Penicillium,Penicillium chrysogenum,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
2020962,Malassezia vespertilionis,GCF_029542925.1,7595203,101269.0,2,56.5,9.0,Malasseziaceae,Malassezia,Malassezia vespertilionis,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
5037,Histoplasma capsulatum G186AR,GCF_000150115.1,30438878,405852.0,2,44.5,355.0,Ajellomycetaceae,Histoplasma,Histoplasma capsulatum,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
