Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
1217819	1217819	Xylonomycetes	R. Gazis & P. Chaverri 2012	CLASS				no	ascomycete fungi	Eukaryota	2759	Fungi	4751	Ascomycota	4890	Xylonomycetes	1217819								
1538075	1538075	Malasseziomycetes	Boekhout, Q.M. Wang & F.Y. Bai, 2014	CLASS				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Malasseziomycetes	1538075								
162480	162480	Agaricostilbomycetes		CLASS				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Agaricostilbomycetes	162480								
162481	162481	Microbotryomycetes		CLASS				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Microbotryomycetes	162481								
1798830	1798830	Spiculogloeomycetes		CLASS				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Spiculogloeomycetes	1798830								
1884633	1884633	Cryptococcaceae	KuÌtz. ex Castell. & Chalm., 1919	FAMILY				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Tremellomycetes	155616	Tremellales	5234	Cryptococcaceae	1884633				
431957	431957	Wallemiomycetes		CLASS				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Wallemiomycetes	431957								
432003	432003	Classiculomycetes		CLASS				no	basidiomycete fungi	Eukaryota	2759	Fungi	4751	Basidiomycota	5204	Classiculomycetes	432003								
4891	4891	Saccharomycetes		CLASS				no	ascomycete fungi	Eukaryota	2759	Fungi	4751	Ascomycota	4890	Saccharomycetes	4891								
5148	5148	Sordariaceae	G. Winter, 1885	FAMILY				no	ascomycete fungi	Eukaryota	2759	Fungi	4751	Ascomycota	4890	Sordariomycetes	147550	Sordariales	5139	Sordariaceae	5148				
